"date","요일","가격","daedong_stock","서울대_s1"
"2017.9.8","금요일",1071,7080,0.0566037736
"2017.9.9","토요일",963,6912.345236,0
"2017.9.11","월요일",1113,6920,0.0120481928
"2017.9.12","화요일",1056,7180,0.0863309353
"2017.9.13","수요일",1007,7180,0.0107913669
"2017.9.14","목요일",1160,7190,0.0619335347
"2017.9.15","금요일",1221,7200,-0.0246305419
"2017.9.16","토요일",1270,7197.122772,0
"2017.9.18","월요일",1750,7240,0.0479651163
"2017.9.19","화요일",1488,7390,0.152597403
"2017.9.20","수요일",1380,7550,-0.0705882353
"2017.9.21","목요일",1305,7380,0.135964912
"2017.9.22","금요일",1301,7350,-0.0111111111
"2017.9.23","토요일",1232,7361.205038,-0.0413793103
"2017.9.25","월요일",1396,7360,-0.00738916256
"2017.9.26","화요일",1316,7370,-0.0146137787
"2017.9.27","수요일",1284,7390,0.0497630332
"2017.9.28","목요일",1033,7350,-0.0827250608
"2017.9.29","금요일",1109,7520,0.063559322
"2017.9.30","토요일",1432,7660.292657,0.0914634146
"2017.10.2","월요일",1562,7708.690874,0.11722488
"2017.10.3","화요일",1233,7694.027684,0.191489362
"2017.10.7","토요일",916,7645.136119,0.00925925926
"2017.10.9","월요일",1418,7590.849214,0.042003231
"2017.10.10","화요일",1388,7560,0.00477707006
"2017.10.11","수요일",1371,7590,0.0578034682
"2017.10.12","목요일",1222,7700,0.104754829
"2017.10.13","금요일",1268,7760,0.0979381443
"2017.10.14","토요일",1116,7787.280431,0.00909090909
"2017.10.16","월요일",1319,7810,0.00643086817
"2017.10.17","화요일",1348,7860,0.0901856764
"2017.10.18","수요일",1145,7900,0.00715137068
"2017.10.19","목요일",989,7700,-0.0277777778
"2017.10.20","금요일",1025,7750,0
"2017.10.21","토요일",910,7681.706387,-0.0122699387
"2017.10.23","월요일",974,7550,-0.0555555556
"2017.10.24","화요일",931,7550,0.0742857143
"2017.10.25","수요일",858,7650,0.0622222222
"2017.10.26","목요일",814,7670,0.0382165605
"2017.10.27","금요일",826,7560,0.12987013
"2017.10.28","토요일",773,7558.958662,0.192982456
"2017.10.30","월요일",805,7590,0.0372093023
"2017.10.31","화요일",1111,7590,0.009375
"2017.11.1","수요일",811,7800,0.0213219616
"2017.11.2","목요일",851,7990,-0.00611620795
"2017.11.3","금요일",811,8050,0.14957265
"2017.11.4","토요일",729,8109.694453,0.0238095238
"2017.11.6","월요일",781,8110,0.158508159
"2017.11.7","화요일",815,8010,0.0652173913
"2017.11.8","수요일",849,7970,0.00396039604
"2017.11.9","목요일",807,7880,-0.0917431193
"2017.11.10","금요일",779,7910,0.0062305296
