"date","요일","가격","당근거래량","당근_강수량_지속영향_size10","군산대_s4"
"2016.2.23","화요일",804,408184.8,8.708412556,0.0827586207
"2016.2.24","수요일",809,331893,4.674071749,0.12987013
"2016.2.25","목요일",785,321426.4,1.099022422,0.134920635
"2016.2.26","금요일",796,411365,1.083587444,0.0708661417
"2016.2.27","토요일",774,301911.5,1.133219731,0.112359551
"2016.2.29","월요일",833,533986.4,0.959273543,0.0631067961
"2016.3.1","화요일",760,469619,1.139686099,0.0804597701
"2016.3.2","수요일",810,387317,0.422852018,0.101694915
"2016.3.3","목요일",859,289554,0.983112108,0.0736842105
"2016.3.4","금요일",827,341462,2.226941704,0.0697674419
"2016.3.5","토요일",808,226038,10.35180269,0.0760869565
"2016.3.7","월요일",837,337159.6,10.18093274,0.0775193798
"2016.3.8","화요일",847,280942.6,11.55778475,0.116104869
"2016.3.9","수요일",820,321742,13.83981166,0.0555555556
"2016.3.10","목요일",830,396837.4,13.793713,0.114754098
"2016.3.11","금요일",843,269019,13.75007175,0.0689655172
"2016.3.12","토요일",799,287883.6,13.6049417,0
"2016.3.14","월요일",791,490677.9,11.95162332,0.0883838384
"2016.3.15","화요일",804,291982,5.576008969,0.0891472868
"2016.3.16","수요일",814,296773.8,11.80649327,0.0923076923
"2016.3.17","목요일",893,417429,2.369156951,0.0674157303
"2016.3.18","금요일",836,286398,4.020457399,0.0753768844
"2016.3.19","토요일",791,197580,4.814860987,0.0606060606
"2016.3.21","월요일",873,446667,2.575130045,0.0971428571
"2016.3.22","화요일",812,365601,2.557668161,0.0947368421
"2016.3.23","수요일",881,345738,2.72341704,0.178217822
"2016.3.24","목요일",848,372547.2,2.798869955,0.0769230769
"2016.3.25","금요일",818,389560,2.807130045,0.0769230769
"2016.3.26","토요일",791,258302.4,2.944502242,0
"2016.3.28","월요일",864,482186.8,0.547049327,0.153846154
"2016.3.29","화요일",847,413638,2.964780269,0.129032258
"2016.3.30","수요일",835,280977,0.50161435,0.12962963
"2016.3.31","목요일",981,453004.6,0.50967713,0.0357142857
"2016.4.1","금요일",891,287265,0.315139013,0.115151515
"2016.4.2","토요일",932,133362,0.463013453,0.0357142857
"2016.4.4","월요일",961,355196,0.848565022,0.119496855
"2016.4.5","화요일",952,264123,0.635865471,0.0666666667
"2016.4.6","수요일",1020,247067,4.213928251,0.0846153846
"2016.4.7","목요일",995,329323,9.044206278,0.0769230769
"2016.4.8","금요일",963,309166,9.064484305,0.104972376
"2016.4.9","토요일",1005,147050,9.036394619,0.0483870968
"2016.4.11","월요일",994,368780.9,9.085139013,0.0928571429
"2016.4.12","화요일",980,353493,9.198627803,0.0888888889
"2016.4.13","수요일",990,306353,12.48827803,0.15625
"2016.4.14","목요일",870,389428,13.05875336,0.142857143
"2016.4.15","금요일",971,275678,9.076251121,0.12173913
"2016.4.16","토요일",976,211720,14.20007175,0
"2016.4.18","월요일",1019,494703,16.17649327,0.107438017
"2016.4.19","화요일",950,289780.6,11.12835874,0.0858895706
"2016.4.20","수요일",906,385572,11.28904036,0.0916666667
"2016.4.21","목요일",958,319783,16.36669058,0.11023622
"2016.4.22","금요일",903,317654,12.58743498,0.102362205
"2016.4.23","토요일",860,131171,16.51145291,0.0923076923
"2016.4.25","월요일",897,473574.7,12.65132735,0
"2016.4.26","화요일",962,394375,6.357282511,0.0970873786
"2016.4.27","수요일",1028,286710,16.70293274,0.0653594771
"2016.4.28","목요일",1061,315470.5,11.0252287,0.111111111
"2016.4.29","금요일",995,304483,10.51506726,0.1
"2016.4.30","토요일",1149,154747,5.551650224,0.117647059
"2016.5.2","월요일",1141,436273.9,11.7064574,0.08
"2016.5.3","화요일",1202,423599,13.71621525,0.0895522388
"2016.5.4","수요일",1049,330840,13.96121973,0.132653061
"2016.5.5","목요일",1144,355930.6,13.85183857,0
"2016.5.6","금요일",1172,300925,11.83665471,0.133333333
"2016.5.7","토요일",1070,122522.7,14.52160538,0
"2016.5.9","월요일",1154,404960,11.47379372,0.121323529
"2016.5.10","화요일",1132,442406.9,16.4846009,0.106870229
"2016.5.11","수요일",1048,377049.3,15.38533632,0.0901639344
"2016.5.12","목요일",1032,376584,9.228511211,0.0322580645
"2016.5.13","금요일",1116,319013.6,15.33767713,0.141221374
"2016.5.14","토요일",1082,133104,7.495811659,0.109375
"2016.5.16","월요일",1051,417853,8.264295964,0.137614679
"2016.5.17","화요일",1145,388305.5,9.14529148,0.125
"2016.5.18","수요일",1084,366768,7.588313901,0.105990783
"2016.5.19","목요일",1052,316167,1.96735426,0.0775862069
"2016.5.20","금요일",1098,190895,7.470430493,0.109375
"2016.5.21","토요일",1107,128307,1.838825112,0
"2016.5.23","월요일",1086,418744.5,1.709165919,0.103658537
"2016.5.24","화요일",1114,392324,5.704107623,0.0821529745
"2016.5.25","수요일",1082,349025,3.983165919,0.106965174
"2016.5.26","목요일",1033,394876.8,5.768798206,0.0636363636
"2016.5.27","금요일",1131,321866,4.56032287,0.0880829016
"2016.5.28","토요일",1192,141554,5.583336323,0
"2016.5.30","월요일",1155,381608,5.583336323,0.0573770492
"2016.5.31","화요일",1234,364828.6,5.583336323,0.132075472
"2016.6.1","수요일",1092,393522,5.583210762,0.0893617021
"2016.6.2","목요일",1161,381299,1.608932735,0.103174603
"2016.6.3","금요일",1177,341157,5.600484305,0.0761904762
"2016.6.4","토요일",1091,137934,3.052762332,0
"2016.6.6","월요일",1097,388864.1,3.120143498,0.0810810811
"2016.6.7","화요일",1081,333897,2.538331839,0.0869565217
"2016.6.8","수요일",1059,312589,3.501479821,0.138728324
"2016.6.9","목요일",1094,303822,2.478466368,0.104575163
"2016.6.10","금요일",1034,402739,2.478466368,0.103174603
"2016.6.11","토요일",981,122842.5,2.651748879,0.0849673203
"2016.6.13","월요일",1026,433930,2.71490583,0.107692308
"2016.6.14","화요일",1051,355970.2,1.329488789,0.147727273
"2016.6.15","수요일",1019,345027.4,3.065040359,0.141791045
"2016.6.16","목요일",1012,272254.8,2.327443946,0.0549450549
"2016.6.17","금요일",1028,463544,1.412618834,0.118644068
"2016.6.18","토요일",933,153258.5,2.621273543,0
"2016.6.20","월요일",970,504717,4.856125561,0.0869565217
"2016.6.21","화요일",954,368226,5.302520179,0
"2016.6.22","수요일",955,326915,13.15623318,0.108333333
"2016.6.23","목요일",925,295011,12.94173094,0
"2016.6.24","금요일",905,427092,16.34113004,0.113636364
"2016.6.25","토요일",876,162118,16.63808072,0.0967741935
"2016.6.27","월요일",946,379890.5,17.28118386,0.122807018
"2016.6.28","화요일",916,281601,17.56584753,0.0879120879
"2016.6.29","수요일",923,322106,19.3049148,0.0909090909
"2016.6.30","목요일",988,471731,21.10457399,0.085106383
"2016.7.1","금요일",897,338636,21.17627803,0.1328125
"2016.7.2","토요일",904,144986,32.20620628,0.105263158
"2016.7.4","월요일",926,369048.5,27.24749776,0.0865384615
"2016.7.5","화요일",925,249958,41.31590135,0.096
"2016.7.6","수요일",829,329365,39.34468161,0.0833333333
"2016.7.7","목요일",886,352308,39.24234081,0.0981132075
"2016.7.8","금요일",877,356340,35.97160538,0.0886075949
"2016.7.9","토요일",765,126690,37.71131839,0.0740740741
"2016.7.11","월요일",882,359479,26.52223318,0.087431694
"2016.7.12","화요일",840,328878,38.6550852,0.1
"2016.7.13","수요일",803,278100,27.81464574,0.094972067
"2016.7.14","목요일",774,270316,21.5935157,0.0594594595
"2016.7.15","금요일",837,310623.5,21.77199103,0.0967741935
"2016.7.16","토요일",708,71094,20.56088789,0.0625
"2016.7.18","월요일",940,465032,17.56104036,0.138461538
"2016.7.19","화요일",824,369879,17.40176682,0.082278481
"2016.7.20","수요일",827,339310,15.62709417,0.072
"2016.7.21","목요일",789,322440,10.59520179,0.129032258
"2016.7.22","금요일",742,192955,13.74458296,0.0659340659
"2016.7.23","토요일",691,127550,8.413865471,0
"2016.7.25","월요일",812,313694,9.049479821,0.0984615385
"2016.7.26","화요일",839,369564,2.387650224,0.08125
"2016.7.27","수요일",852,242537,8.318026906,0.147286822
"2016.7.28","목요일",859,207206,2.621040359,0.0888888889
"2016.7.29","금요일",1064,301490,3.078995516,0.0576923077
"2016.7.30","토요일",859,119895,4.413829596,0
"2016.8.1","월요일",1132,348515,5.36767713,0.09375
"2016.8.2","화요일",1009,416694,5.464502242,0.0357142857
"2016.8.3","수요일",968,214914,4.778493274,0
"2016.8.4","목요일",1022,363456,10.15752466,0.0909090909
"2016.8.5","금요일",860,216319,9.084511211,0.130232558
"2016.8.6","토요일",926,38140,9.539121076,0.0725806452
"2016.8.8","월요일",1060,415891,10.17590135,0.0655737705
"2016.8.9","화요일",907,327746,9.198188341,0.106666667
"2016.8.10","수요일",1043,270187,9.063381166,0.0588235294
"2016.8.11","목요일",813,244264,8.077004484,0.179487179
"2016.8.12","금요일",950,228217,7.339488789,0.0909090909
"2016.8.13","토요일",777,82310,2.733982063,0.0322580645
"2016.8.15","월요일",966,257856,6.606511211,0.1
"2016.8.16","화요일",974,226371,2.996986547,0.0825242718
"2016.8.17","수요일",1281,346890,1.861192825,0.103225806
"2016.8.18","목요일",1020,346855,2.399820628,0.127071823
"2016.8.19","금요일",1258,323862,1.603730942,0.0874125874
"2016.8.20","토요일",761,97631,1.575121076,0.0967741935
"2016.8.22","월요일",1125,354240,1.97935426,0.102608696
"2016.8.23","화요일",1132,322227,2.107426009,0.084398977
"2016.8.24","수요일",1012,313182,1.559704036,0.129824561
"2016.8.25","목요일",956,256635,2.238376682,0.102167183
"2016.8.26","금요일",1097,226429,4.951748879,0
"2016.8.27","토요일",857,167434,5.239067265,0.0967741935
"2016.8.29","월요일",1085,372458.1,5.965587444,0.138755981
"2016.8.30","화요일",1105,393391.4,6.439318386,0.114649682
"2016.8.31","수요일",1199,414052,6.297668161,0.092039801
"2016.9.1","목요일",1117,381274,8.20890583,0.106870229
"2016.9.2","금요일",924,320914.5,15.83117489,0.115702479
"2016.9.3","토요일",770,163440,19.85234081,0.094017094
"2016.9.5","월요일",1147,449220,18.41118386,0.12568306
"2016.9.6","화요일",1021,423700,19.4150852,0.111888112
"2016.9.7","수요일",1060,408010,17.0092287,0.112149533
"2016.9.8","목요일",935,326637,17.49109417,0.138801262
"2016.9.9","금요일",983,362872,16.59015247,0.0945945946
"2016.9.10","토요일",925,273597,16.08241256,0
"2016.9.12","월요일",1130,456213,12.21418834,0.100558659
"2016.9.13","화요일",1203,473407,13.54755157,0.140718563
"2016.9.14","수요일",697,39140,10.18989238,0.102362205
"2016.9.17","토요일",844,1055,18.50683408,0
"2016.9.19","월요일",1158,379325,18.78549776,0.125214408
"2016.9.20","화요일",1012,398158,18.75833184,0.0918367347
"2016.9.21","수요일",1014,412733,18.2764843,0.11352657
"2016.9.22","목요일",1064,395837,17.55973991,0.0960264901
"2016.9.23","금요일",1047,310729,14.91773991,0.106097561
"2016.9.24","토요일",1016,134845,17.03921076,0.106666667
"2016.9.26","월요일",1044,432992,14.6883139,0.1108742
"2016.9.27","화요일",1074,437962,2.80026009,0.143603133
"2016.9.28","수요일",1110,326386,21.27747982,0.0863697706
"2016.9.29","목요일",929,241372,11.31350673,0.10460251
"2016.9.30","금요일",1064,344145,12.94880717,0.0924528302
"2016.10.1","토요일",957,141819,13.72839462,0.131410256
"2016.10.3","월요일",1191,312917,15.72234081,0.125
"2016.10.4","화요일",1151,370728,17.22545291,0.142857143
"2016.10.5","수요일",1150,327120,42.79969507,0.12642369
"2016.10.6","목요일",1210,265946,42.55470852,0.0899122807
"2016.10.7","금요일",1230,366046,36.83177578,0.104651163
"2016.10.8","토요일",1321,215762,45.8153722,0.0964912281
"2016.10.10","월요일",1224,408806,37.74883408,0.0917431193
"2016.10.11","화요일",1328,405190,38.07027803,0.103746398
"2016.10.12","수요일",1398,289908,34.16395516,0.103703704
"2016.10.13","목요일",1308,294765,33.68796413,0.126984127
"2016.10.14","금요일",1149,328120.5,7.130896861,0.0858085809
"2016.10.15","토요일",921,143167,31.7333991,0.0843373494
"2016.10.17","월요일",1371,435863,4.669309417,0.129464286
"2016.10.18","화요일",1113,243179,0.948376682,0.102902375
"2016.10.19","수요일",1232,272640,4.660672646,0.079787234
"2016.10.20","목요일",1299,345476.6,0.073659193,0.128019324
"2016.10.21","금요일",1220,270874,2.155040359,0.0872210953
"2016.10.22","토요일",1058,126995,4.111004484,0
"2016.10.24","월요일",1259,387177,4.106026906,0.0784313725
"2016.10.25","화요일",1115,350580,5.931623318,0.0922330097
"2016.10.26","수요일",1167,211855,6.560699552,0.0829694323
"2016.10.27","목요일",1076,266681,6.574412556,0.124293785
"2016.10.28","금요일",1188,254225,9.232466368,0.12890625
"2016.10.29","토요일",1003,78705,9.548816143,0.133333333
"2016.10.31","월요일",1392,290430,7.539730942,0.093495935
"2016.11.1","화요일",1365,353575,7.639237668,0.136363636
"2016.11.2","수요일",1239,338766,7.502278027,0.0877742947
"2016.11.3","목요일",1294,301537,3.74006278,0.124168514
"2016.11.4","금요일",1301,289345,4.919721973,0.112903226
"2016.11.5","토요일",1347,161688,3.825139013,0.0808080808
"2016.11.7","월요일",1516,318975,0.734134529,0.165366615
"2016.11.8","화요일",1455,393580,3.543300448,0.0861344538
"2016.11.9","수요일",1606,302152,1.211103139,0.0836820084
"2016.11.10","목요일",1540,300516,1.837811659,0.104790419
"2016.11.11","금요일",1583,307893,1.859461883,0.105413105
"2016.11.12","토요일",1246,122991,1.847408072,0.107142857
"2016.11.14","월요일",1481,384230,2.890798206,0
"2016.11.15","화요일",1639,294800,2.780107623,0.136239782
"2016.11.16","수요일",1502,322535,2.676125561,0.148288973
"2016.11.17","목요일",1802,282616,2.250484305,0.129032258
"2016.11.18","금요일",1429,296663,4.364251121,0.0722222222
"2016.11.19","토요일",1207,205806.5,3.164493274,0.142857143
"2016.11.21","월요일",1488,348247.9,4.52555157,0.0965517241
"2016.11.22","화요일",1549,276449,3.945479821,0.0965909091
"2016.11.23","수요일",1371,276243,2.863713004,0.0771276596
"2016.11.24","목요일",1507,251326,3.903112108,0.09
"2016.11.25","금요일",1504,217281,2.871775785,0.0511627907
"2016.11.26","토요일",1264,106948,4.168699552,0.0322580645
"2016.11.28","월요일",1641,332841,2.382690583,0.133126935
"2016.11.29","화요일",1647,269256,3.919067265,0.0344827586
"2016.11.30","수요일",2000,278898,2.392852018,0.110638298
"2016.12.1","목요일",1619,360020,2.271605381,0.100323625
"2016.12.2","금요일",1537,268023,2.100313901,0.121212121
"2016.12.3","토요일",1526,147828,1.793704036,0
"2016.12.5","월요일",1754,280384,1.805147982,0.0333333333
"2016.12.6","화요일",1705,305371,0.500161435,0.151162791
"2016.12.7","수요일",1568,299134,1.798869955,0.147982063
"2016.12.8","목요일",1531,184581,0.517820628,0.110344828
"2016.12.9","금요일",1702,243614,0.246466368,0.0659340659
"2016.12.10","토요일",1315,102732,0.653318386,0.214285714
"2016.12.12","월요일",1563,266207.5,0.22064574,0.129032258
"2016.12.13","화요일",1625,323152,0.399434978,0.0566037736
"2016.12.14","수요일",1563,279000,1.144152466,0.118110236
"2016.12.15","목요일",1334,208525,1.201497758,0.0553633218
"2016.12.16","금요일",1646,251943,1.240170404,0.0931677019
"2016.12.17","토요일",1392,117500,1.191596413,0.15625
"2016.12.19","월요일",1911,332539,2.48638565,0.0916030534
"2016.12.20","화요일",2042,338281,2.595713004,0.122222222
"2016.12.21","수요일",1552,259597,7.703721973,0.09
"2016.12.22","목요일",1810,224381,11.21191031,0.12962963
"2016.12.23","금요일",1881,210814,10.67222422,0.0869565217
"2016.12.24","토요일",920,86892,11.20859193,0.24137931
"2016.12.26","월요일",2097,349326,14.23606278,0.0927152318
"2016.12.27","화요일",2064,336879,15.28990135,0.108695652
"2016.12.28","수요일",1929,311265,13.84756951,0.102564103
"2016.12.29","목요일",1838,227369,15.21840359,0.046875
"2016.12.30","금요일",1983,300322,8.596170404,0.0697674419
"2016.12.31","토요일",1131,62928,10.15027803,0.0638297872
"2017.1.2","월요일",1514,43820,8.584585267,0.0744680851
"2017.1.3","화요일",1748,517825,4.948800514,0.0793103448
"2017.1.4","수요일",1641,351601,1.098845357,0.0696202532
"2017.1.5","목요일",1809,378148,4.969935501,0.208955224
"2017.1.6","금요일",1840,361972,2.440359955,0.0927152318
"2017.1.7","토요일",1520,168596,2.611272863,0.0344827586
"2017.1.9","월요일",1704,359230,2.626971711,0.101449275
"2017.1.10","화요일",1685,362221,2.622025547,0.0873015873
"2017.1.11","수요일",1725,358695,2.568873228,0.0357142857
"2017.1.12","목요일",1704,373795,2.633759124,0.03125
"2017.1.13","금요일",1817,435817,2.592034672,0.169444444
"2017.1.14","토요일",1736,242050,1.48709854,0.174603175
"2017.1.16","월요일",1618,424897.5,2.35879562,0.119760479
"2017.1.17","화요일",1578,395226,0.272472628,0.0775862069
"2017.1.18","수요일",1588,378892.4,1.241441606,0.0725388601
"2017.1.19","목요일",1483,429200,0.03729927,0.0340909091
"2017.1.20","금요일",1434,448073,0.624333942,0.107843137
"2017.1.21","토요일",1404,257645.4,0.64379562,0.0540540541
"2017.1.23","월요일",1232,406086,0.64120438,0.106918239
"2017.1.24","화요일",1324,465273.5,0.642408759,0.133333333
"2017.1.25","수요일",1321,261638,0.630930657,0.120300752
"2017.1.26","목요일",1391,330082,0.631833942,0.0734463277
"2017.1.27","금요일",931,41310,0.731058394,0.0819672131
"2017.1.31","화요일",1117,27690,0.731058394,0.0960451977
"2017.2.1","수요일",1425,360223,0.132080292,0.0666666667
"2017.2.2","목요일",1647,510560,0.702518248,0.0894308943
"2017.2.3","금요일",1460,478208,0.130337591,0.104
"2017.2.4","토요일",1429,332948.6,0.991943431,0.137931034
"2017.2.6","월요일",1287,395404,0.99020073,0.0661577608
"2017.2.7","화요일",1180,317272,0.987627737,0.0960854093
"2017.2.8","수요일",1272,386070,0.900593066,0.0772532189
"2017.2.9","목요일",1240,364923,1.045100365,0.122807018
"2017.2.10","금요일",1251,286937,1.186131387,0.0990566038
"2017.2.11","토요일",973,140587,1.29165146,0.112068966
"2017.2.13","월요일",1230,252550,1.317408759,0.0721153846
"2017.2.14","화요일",1240,405466,0.431770073,0.101973684
"2017.2.15","수요일",1177,408779,1.320173358,0.0983606557
"2017.2.16","목요일",1099,442570,0.641514599,0.0714285714
"2017.2.17","금요일",1255,365914,0.862481752,0
"2017.2.18","토요일",1007,157585,0.824242701,0.0952380952
"2017.2.20","월요일",1092,499667.8,1.284945255,0.114906832
"2017.2.21","화요일",975,372542,1.371824818,0.0724637681
"2017.2.22","수요일",937,221734,7.039023723,0.0574712644
"2017.2.23","목요일",970,303347,6.95649635,0.0588235294
"2017.2.24","금요일",880,259396,6.93350365,0.0961538462
"2017.2.25","토요일",1014,264085,6.720994526,0.0625
"2017.2.27","월요일",1046,440053,6.716459854,0.0670731707
"2017.2.28","화요일",1208,445360,6.73729927,0
"2017.3.1","수요일",955,481099,6.230784672,0.0655737705
"2017.3.2","목요일",963,405120.7,7.225428832,0.105263158
"2017.3.3","금요일",987,358118,0.735018248,0.105263158
"2017.3.4","토요일",980,276938,6.562709854,0.14
"2017.3.6","월요일",1000,529867.9,0.798722628,0.0957446809
"2017.3.7","화요일",904,373489,0.83350365,0.0867346939
"2017.3.8","수요일",896,391453,0.835693431,0.0952380952
"2017.3.9","목요일",954,303597,0.851998175,0.0816326531
"2017.3.10","금요일",962,322179,0.448905109,0.0977443609
"2017.3.11","토요일",1038,282025,0.503768248,0.0757575758
"2017.3.13","월요일",971,494003,0.586715328,0.0967741935
"2017.3.14","화요일",924,450424,0.395374088,0.0869565217
"2017.3.15","수요일",892,270492,0.331669708,0.0895522388
"2017.3.16","목요일",949,405792,0.360593066,0
"2017.3.17","금요일",1148,468201,0.313175182,0.12
"2017.3.18","토요일",914,259070,0.296888686,0
"2017.3.20","월요일",900,408584,2.312436131,0
"2017.3.21","화요일",824,491772,2.697417883,0.0964912281
"2017.3.22","수요일",798,245230,2.559607664,0
"2017.3.23","목요일",906,190504,2.961259124,0.104477612
"2017.3.24","금요일",840,319873.5,2.964032847,0.142857143
"2017.3.25","토요일",987,148395,3.972144161,0.0957446809
"2017.3.27","월요일",846,409795,4.196304745,0.0505050505
"2017.3.28","화요일",812,288560,4.262125912,0.161290323
"2017.3.29","수요일",981,340415.5,2.639562044,0.117021277
"2017.3.30","목요일",1023,309724,4.288622263,0.0786026201
"2017.3.31","금요일",933,382557,4.115383212,0.0438596491
"2017.4.1","토요일",996,315475.2,3.926067518,0.0925925926
"2017.4.3","월요일",909,336778,4.330492701,0.103092784
"2017.4.4","화요일",873,396237,2.777372263,0.0357142857
"2017.4.5","수요일",904,312635.5,6.814124088,0.0740740741
"2017.4.6","목요일",872,317656,13.78531022,0.129032258
"2017.4.7","금요일",844,221837,13.2154927,0.142857143
"2017.4.8","토요일",974,126715,13.56286496,0
"2017.4.10","월요일",1349,470299.5,11.86123175,0.0866141732
"2017.4.11","화요일",1269,376931.2,14.92193431,0.15
"2017.4.12","수요일",1292,290731,14.04770985,0.0658682635
"2017.4.13","목요일",1206,344460.8,13.44761861,0.12605042
"2017.4.14","금요일",1159,389507,10.44138686,0.130081301
"2017.4.15","토요일",978,192685,5.628467153,0.125
"2017.4.17","월요일",1176,650855,15.18658759,0.151515152
"2017.4.18","화요일",1058,442140,7.610291971,0.125
"2017.4.19","수요일",868,327725,7.426341241,0.0666666667
"2017.4.20","목요일",968,454940,5.484644161,0.0975609756
"2017.4.21","금요일",875,316329,7.491478102,0.0505050505
"2017.4.22","토요일",922,158083,5.751304745,0.103448276
"2017.4.24","월요일",919,456140.5,5.643813869,0
"2017.4.25","화요일",828,451491,5.790018248,0.109375
"2017.4.26","수요일",856,390692,2.104425182,0.1015625
"2017.4.27","목요일",824,308452,6.389854015,0.107692308
"2017.4.28","금요일",823,419581,2.068020073,0.0853658537
"2017.4.29","토요일",741,94557,1.623239051,0
"2017.5.1","월요일",886,512363,1.673531022,0.0543478261
"2017.5.2","화요일",976,486429,1.179945255,0.0663716814
"2017.5.3","수요일",879,441889,1.614206204,0.0945945946
"2017.5.4","목요일",909,288975,1.78225365,0.0824742268
"2017.5.5","금요일",880,276858,1.720885036,0.0666666667
"2017.5.6","토요일",833,141098,2.737043796,0.105263158
"2017.5.8","월요일",960,364936,1.687326642,0.0655737705
"2017.5.9","화요일",956,513890,4.105228102,0.119047619
"2017.5.10","수요일",928,347676,4.32645073,0.0530821918
"2017.5.11","목요일",910,375763,4.397153285,0.0681818182
"2017.5.12","금요일",855,469849.5,6.724835766,0.135416667
"2017.5.13","토요일",839,165551,6.431021898,0.0757575758
"2017.5.15","월요일",967,582959,6.16419708,0.133333333
"2017.5.16","화요일",854,392982,6.433120438,0.164179104
"2017.5.17","수요일",960,461491,5.50915146,0.103448276
"2017.5.18","목요일",827,338073.5,3.132810219,0.116129032
"2017.5.19","금요일",857,338076,5.289434307,0.0952380952
"2017.5.20","토요일",758,144286,3.017536496,0.064516129
"2017.5.22","월요일",986,480795,0.542344891,0
"2017.5.23","화요일",886,389140.5,2.633987226,0.0546875
"2017.5.24","수요일",858,451813,1.240766423,0.0891719745
"2017.5.25","목요일",835,319595,0.844516423,0.122743682
"2017.5.26","금요일",896,373802,0.783266423,0.154285714
"2017.5.27","토요일",740,147000,0.855054745,0.0571428571
"2017.5.29","월요일",992,446454,0.781167883,0.0526315789
"2017.5.30","화요일",866,271103,0.781167883,0.117021277
"2017.5.31","수요일",1049,476932,0.873832117,0.0857142857
"2017.6.1","목요일",899,507218,1.14120438,0
"2017.6.2","금요일",911,289489,0.84274635,0.151260504
"2017.6.3","토요일",961,141586,1.187718978,0.0476190476
"2017.6.5","월요일",876,469021.5,0.636870438,0.0845070423
"2017.6.6","화요일",852,326826,7.976952555,0.113402062
"2017.6.7","수요일",931,348222.5,9.022956204,0.0934065934
"2017.6.8","목요일",948,313519,9.022956204,0.0666666667
"2017.6.9","금요일",942,360383,9.052874088,0.0731707317
"2017.6.10","토요일",898,190225,8.736624088,0.0563380282
"2017.6.12","월요일",946,471809.5,9.130520073,0.0695652174
"2017.6.13","화요일",918,442960,8.891313869,0.0485436893
"2017.6.14","수요일",882,371163,8.914762774,0.0700636943
"2017.6.15","목요일",893,297570,1.550237226,0.111111111
"2017.6.16","금요일",860,354003,7.823239051,0.109375
"2017.6.17","토요일",866,189274,1.550237226,0.0555555556
"2017.6.19","월요일",979,517668,0.371113139,0.0925925926
"2017.6.20","화요일",921,316603,2.559498175,0.0928143713
"2017.6.21","수요일",887,382877,2.578531022,0.0986394558
"2017.6.22","목요일",880,269527,2.208220803,0.110552764
"2017.6.23","금요일",968,323455,2.490173358,0.104693141
"2017.6.24","토요일",888,201450,2.919635036,0.0806451613
"2017.6.26","월요일",898,393530.5,4.473777372,0.11790393
"2017.6.27","화요일",853,359950,4.707974453,0.119521912
"2017.6.28","수요일",837,302024,4.874571168,0.130434783
"2017.6.29","목요일",834,269471,7.260228102,0.13740458
"2017.6.30","금요일",931,359852,9.399534672,0.0882352941
"2017.7.1","토요일",882,214372,7.579927007,0.0597014925
"2017.7.3","월요일",939,341529,10.94707117,0.12371134
"2017.7.4","화요일",861,312825.5,13.14212591,0.0967741935
"2017.7.5","수요일",919,275144,12.71149635,0
"2017.7.6","목요일",859,253064,14.21306569,0.0543735225
"2017.7.7","금요일",891,310204,13.26909672,0.0855614973
