"date","요일","가격","토마토거래량","기온_지속영향_size5","토마토_강수량_지속영향_size10"
"2016.3.30","수요일",3051,430672,9.08,0.374363736
"2016.3.31","목요일",3267,280306,10.4,0.374538504
"2016.4.1","금요일",3314,522224.5,11.9,0.178834881
"2016.4.2","토요일",3345,474467.2,12.82,0.337491353
"2016.4.4","월요일",3143,676335.5,12.68,0.432022574
"2016.4.5","화요일",3030,431787,12.54,0.344948116
"2016.4.6","수요일",2952,477505.5,12.62,2.814309121
"2016.4.7","목요일",3039,377200.5,12.52,7.058387038
"2016.4.8","금요일",2883,499678.5,12.52,7.080429638
"2016.4.9","토요일",2798,523529,13.26,7.061773166
"2016.4.11","월요일",2760,763936.5,13.04,7.102909157
"2016.4.12","화요일",2678,506673,12.98,7.227278354
"2016.4.13","수요일",2602,554563.5,13.28,9.647671582
"2016.4.14","목요일",2767,448851.5,13.44,9.935630803
"2016.4.15","금요일",2609,618690.5,13.2,7.228337885
"2016.4.16","토요일",2386,626927.5,13.94,12.38719461
"2016.4.18","월요일",2315,890490,14.04,14.73781904
"2016.4.19","화요일",2210,596073,13.7,10.38912798
"2016.4.20","수요일",2053,750502,13.54,10.59920626
"2016.4.21","목요일",2048,518048,13.56,16.64524668
"2016.4.22","금요일",1972,681802,14.06,14.02047697
"2016.4.23","토요일",1877,702121,14.5,16.60830512
"2016.4.25","월요일",1837,984044.5,15.18,13.89995267
"2016.4.26","화요일",1771,607570.6,15.8,7.167296559
"2016.4.27","수요일",1779,665574,15.52,18.66672492
"2016.4.28","목요일",1902,387392.5,14.82,12.46824322
"2016.4.29","금요일",1905,661421,14.66,11.82229383
"2016.4.30","토요일",1889,712838,14.78,5.930799199
"2016.5.2","월요일",1712,1110618.9,15.16,13.93073002
"2016.5.3","화요일",1683,627278.5,15.74,13.61778991
"2016.5.4","수요일",1540,853887.5,16.42,13.68170399
"2016.5.5","목요일",1623,653190.5,17.18,13.50139814
"2016.5.6","금요일",1501,792737,17.46,9.452095394
"2016.5.7","토요일",1388,891489.6,17.1,13.44362279
"2016.5.9","월요일",1298,1279843.5,17.66,9.132707082
"2016.5.10","화요일",1238,736026,17.04,13.25965046
"2016.5.11","수요일",1193,914507,16.54,11.28379028
"2016.5.12","목요일",1350,610492.5,16.56,7.573752048
"2016.5.13","금요일",1305,836482,16.46,11.23848534
"2016.5.14","토요일",1224,775276,16.3,5.292616057
"2016.5.16","월요일",1175,1100692,16.6,6.171174222
"2016.5.17","화요일",1196,643182,17.02,6.410609867
"2016.5.18","수요일",1230,763024,17.48,5.93649736
"2016.5.19","목요일",1231,627377,18.22,1.398798471
"2016.5.20","금요일",1285,648140.5,18.74,5.783353359
"2016.5.21","토요일",1299,612243,19.68,1.3456217
"2016.5.23","월요일",1289,1070729,20.24,1.179668669
"2016.5.24","화요일",1282,630627,19.78,5.901838704
"2016.5.25","수요일",1299,792942.5,19.6,4.709361005
"2016.5.26","목요일",1261,736285,19.7,5.908734753
"2016.5.27","금요일",1264,938888.5,19.98,4.761707628
"2016.5.28","토요일",1175,880013,20.04,4.87788458
"2016.5.30","월요일",1095,1268227.5,20.7,4.87788458
"2016.5.31","화요일",1061,735350,21.16,4.87788458
"2016.6.1","수요일",1032,958567.6,21.26,4.876104133
"2016.6.2","목요일",1040,702672,21,0.178987803
"2016.6.3","금요일",1012,905995,21.14,4.893471691
"2016.6.4","토요일",978,877463.5,20.76,1.04715456
"2016.6.6","월요일",923,1257390,20.32,1.151822319
"2016.6.7","화요일",904,956047,20.38,1.114797014
"2016.6.8","수요일",885,923107,20.54,1.454742399
"2016.6.9","목요일",889,791338,20.66,1.338565447
"2016.6.10","금요일",888,828798,21.34,1.338565447
"2016.6.11","토요일",846,787140,22.16,1.872787184
"2016.6.13","월요일",820,1263436.8,22.42,1.898605498
"2016.6.14","화요일",824,752335,22.64,1.149568542
"2016.6.15","수요일",830,850726,22.5,3.227988349
"2016.6.16","목요일",866,619060,22.36,2.596227926
"2016.6.17","금요일",915,787580,22.28,2.297331149
"2016.6.18","토요일",886,791740,22.52,2.682570544
"2016.6.20","월요일",874,1047043,22.74,3.819249954
"2016.6.21","화요일",879,613552,23.16,3.334454761
"2016.6.22","수요일",855,738225,23.3,5.826542873
"2016.6.23","목요일",904,662290,23.5,5.204773348
"2016.6.24","금요일",865,734321,23.14,10.5226106
"2016.6.25","토요일",821,789185,23.04,11.50057528
"2016.6.27","월요일",805,1117888,22.74,10.59960677
"2016.6.28","화요일",808,596606,22.66,10.36144184
"2016.6.29","수요일",802,600082,22.38,9.472466776
"2016.6.30","목요일",860,469738,22.88,10.89892591
"2016.7.1","금요일",859,568821,23.18,21.12451484
"2016.7.2","토요일",801,489953,23.48,28.10084107
"2016.7.4","월요일",809,760589,23.44,31.40660477
"2016.7.5","화요일",888,430906,23.84,50.94630985
"2016.7.6","수요일",940,397576,23.68,49.15037684
"2016.7.7","목요일",995,386724.4,23.68,49.33903878
"2016.7.8","금요일",1127,443744,24.04,49.25242672
"2016.7.9","토요일",1238,457896,24.82,49.09926816
"2016.7.11","월요일",1284,606203,24.98,36.21486255
"2016.7.12","화요일",1322,385661,25.18,46.5185436
"2016.7.13","수요일",1373,465664,25.46,26.35698525
"2016.7.14","목요일",1292,513536,25.38,21.00123066
"2016.7.15","금요일",1292,540706,25.06,17.56549791
"2016.7.16","토요일",1087,531564.6,24.28,17.53325687
"2016.7.18","월요일",1053,693961,24.1,12.49147278
"2016.7.19","화요일",1022,449269,23.98,12.60850537
"2016.7.20","수요일",976,414287.5,24.04,11.72057164
"2016.7.21","목요일",1033,256722,24.16,10.21876934
"2016.7.22","금요일",1136,246530.7,24.98,11.64924813
"2016.7.23","토요일",1264,287275,25.52,9.130045512
"2016.7.25","월요일",1327,432406,25.98,10.85462953
"2016.7.26","화요일",1452,272888,26.52,1.898485345
"2016.7.27","수요일",1493,395069.5,27.1,10.05014382
"2016.7.28","목요일",1525,337651,27.6,2.066666667
"2016.7.29","금요일",1394,396856,27.88,4.843371564
"2016.7.30","토요일",1059,421804,28.1,5.912608775
"2016.8.1","월요일",1018,556079,27.98,6.604908065
"2016.8.2","화요일",1010,376175,27.66,6.676173311
"2016.8.3","수요일",1080,392928,27.34,6.59321318
"2016.8.4","목요일",1070,380421,27.32,7.198714728
"2016.8.5","금요일",1053,416224.5,27.24,6.001776807
"2016.8.6","토요일",914,168866,27.42,6.104809758
"2016.8.8","월요일",1042,541350.5,27.78,4.39047515
"2016.8.9","화요일",1050,340596,27.98,5.985381395
"2016.8.10","수요일",1115,355898.5,28.12,3.544584016
"2016.8.11","목요일",1151,367461,28.38,2.558823958
"2016.8.12","금요일",1165,387400.5,28.62,2.082890952
"2016.8.13","토요일",1067,416553,28.88,1.720382305
"2016.8.15","월요일",1071,580034,29.04,1.86470781
"2016.8.16","화요일",1059,452947,28.94,2.176905152
"2016.8.17","수요일",1046,533577.5,28.62,1.337018023
"2016.8.18","목요일",1116,379256,28.32,2.30160568
"2016.8.19","금요일",1170,403876,28.06,1.492302931
"2016.8.20","토요일",1148,436741.5,28.02,1.421456399
"2016.8.22","월요일",1133,582612.5,28.04,1.601372656
"2016.8.23","화요일",1213,370170,27.96,1.977494994
"2016.8.24","수요일",1305,388539.9,27.82,1.527697069
"2016.8.25","목요일",1423,359578,27.62,2.338456217
"2016.8.26","금요일",1515,353615,26.34,5.531181504
"2016.8.27","토요일",1590,354879,25.14,5.12751866
"2016.8.29","월요일",1737,479117,23.78,6.295317677
"2016.8.30","화요일",1948,264309.5,22.46,6.568458038
"2016.8.31","수요일",2238,269040,21.38,8.094389223
"2016.9.1","목요일",2597,199384,21.92,8.26434371
"2016.9.2","금요일",2873,214184,21.8,12.98211542
"2016.9.3","토요일",3152,246892,22.28,14.71920262
"2016.9.5","월요일",3003,341825,23.06,12.80426725
"2016.9.6","화요일",3169,190902.8,23.42,14.96873475
"2016.9.7","수요일",3008,237769,23.12,10.91126889
"2016.9.8","목요일",3316,180399,23.38,12.31006008
"2016.9.9","금요일",3646,264304,23.36,10.05815766
"2016.9.10","토요일",3088,307805,22.92,11.99081012
"2016.9.12","월요일",2259,548706,22.54,7.922457673
"2016.9.13","화요일",1991,364338,22.4,9.076734025
"2016.9.14","수요일",962,211369,22.38,7.120932095
"2016.9.17","토요일",1563,4300,21.92,21.01588567
"2016.9.19","월요일",1208,627154,21.48,20.38323321
"2016.9.20","화요일",1460,390764,20.9,20.02342982
"2016.9.21","수요일",1745,334664,20.1,19.86337885
"2016.9.22","목요일",1899,279879,19.46,18.94880393
"2016.9.23","금요일",1962,276057,19.3,17.359432
"2016.9.24","토요일",1873,315149,19.34,18.4173712
"2016.9.26","월요일",1967,317463,19.92,16.87431276
"2016.9.27","화요일",2020,186819,20.78,1.797768068
"2016.9.28","수요일",2272,189672,21.16,20.09509558
"2016.9.29","목요일",2423,168207,21.04,3.953792099
"2016.9.30","금요일",2781,193407,20.52,6.712186419
"2016.10.1","토요일",2861,219975,20,7.303626434
"2016.10.3","월요일",3222,239858,19.98,10.08034954
"2016.10.4","화요일",3420,220570,20,10.26889496
"2016.10.5","수요일",3439,220098,20.08,19.89673403
"2016.10.6","목요일",3552,197677,20.24,18.87853268
"2016.10.7","금요일",3607,218764,20.1,20.13030766
"2016.10.8","토요일",3407,228545,19.06,25.21300564
"2016.10.10","월요일",3655,282211,17.44,20.75007464
"2016.10.11","화요일",3393,230855.5,16.44,22.71169488
"2016.10.12","수요일",3485,224838,15.74,17.72342982
"2016.10.13","목요일",3483,171538,14.96,19.70901511
"2016.10.14","금요일",3853,183180,14.52,7.157771709
"2016.10.15","토요일",3651,204431.5,15.2,16.91285272
"2016.10.17","월요일",3593,264510,15.84,4.918580011
"2016.10.18","화요일",3246,238804,16.08,2.206473694
"2016.10.19","수요일",3249,231185,16.54,4.909896232
"2016.10.20","목요일",2979,233343,16.86,0.127533224
"2016.10.21","금요일",2855,273619,16.84,0.407525942
"2016.10.22","토요일",2364,347984.5,16.66,0.605133807
"2016.10.24","월요일",2364,374444,16.24,0.60759148
"2016.10.25","화요일",2154,284882,15.8,4.053344256
"2016.10.26","수요일",2184,248003,15.2,4.001689423
"2016.10.27","목요일",2087,249096,14.78,4.061037684
"2016.10.28","금요일",2113,240415,14.24,5.174884398
"2016.10.29","토요일",1896,274367.5,13.52,5.493052977
"2016.10.31","월요일",2070,278094.5,12.26,5.317389405
"2016.11.1","화요일",1945,188635,10.42,5.37372292
"2016.11.2","수요일",2163,202074,8.58,5.282195522
"2016.11.3","목요일",2113,130722,7.38,1.672932824
"2016.11.4","금요일",2434,179532.6,7.3,5.092452212
"2016.11.5","토요일",2177,170862,8.28,1.758922265
"2016.11.7","월요일",2367,242084,9.98,0.974316403
"2016.11.8","화요일",2283,151503,10.56,2.221252503
"2016.11.9","수요일",2395,194227,9.8,1.350020025
"2016.11.10","목요일",2481,124835,9.22,1.771662115
"2016.11.11","금요일",2498,208180,8.44,1.902872747
"2016.11.12","토요일",2302,177352,7.82,1.893493537
"2016.11.14","월요일",2389,224704,9.04,2.452805389
"2016.11.15","화요일",2256,168216,10.08,2.334327326
"2016.11.16","수요일",2410,177544,9.94,2.034527581
"2016.11.17","목요일",2443,136522,9.82,1.881955216
"2016.11.18","금요일",2391,214229,9.82,4.587624249
"2016.11.19","토요일",2227,194365,9.64,3.637935554
"2016.11.21","월요일",2341,197214,9.8,4.173926816
"2016.11.22","화요일",2321,163623,9.74,3.991261606
"2016.11.23","수요일",2248,181453,8.62,3.2396359
"2016.11.24","목요일",2311,124215,6.76,3.78974331
"2016.11.25","금요일",2358,161633,4.46,3.239810668
"2016.11.26","토요일",2280,161449,2.64,3.797036228
"2016.11.28","월요일",2414,155943,2.14,1.145523393
"2016.11.29","화요일",2470,116252,2.14,3.599104315
"2016.11.30","수요일",2396,152454.8,3.24,1.588385218
"2016.12.1","목요일",2448,98097,4.16,1.101427271
"2016.12.2","금요일",2865,157789,4.52,1.380167486
"2016.12.3","토요일",3135,92830,4.56,1.070304023
"2016.12.5","월요일",3404,158114.5,5.52,1.091924267
"2016.12.6","화요일",3300,134426,4.64,0.53452394
"2016.12.7","수요일",3473,135923,3.66,1.120564355
"2016.12.8","목요일",3514,88679,3.78,0.842963772
"2016.12.9","금요일",3338,173941,3.9,0.762184599
"2016.12.10","토요일",3215,125538.5,2.48,1.161063171
"2016.12.12","월요일",3246,163480,2.9,0.796781358
"2016.12.13","화요일",3252,134660.5,3.66,0.946273439
"2016.12.14","수요일",3014,152178.5,3.26,1.680061897
"2016.12.15","목요일",3277,93453,2.18,1.726772256
"2016.12.16","금요일",3021,178785,1.66,1.665046423
"2016.12.17","토요일",2931,121823,1.56,1.390060076
"2016.12.19","월요일",3099,167548,1.92,2.4237211
"2016.12.20","화요일",3097,128959,3.06,2.469761515
"2016.12.21","수요일",2831,136647,4.96,7.680928454
"2016.12.22","목요일",3069,92942,7,11.10858911
"2016.12.23","금요일",2999,180288,6.66,10.61833242
"2016.12.24","토요일",3000,100695,5.32,11.19760786
"2016.12.26","월요일",3157,144635,4.78,12.40318587
"2016.12.27","화요일",3129,127491,3.28,13.37768797
"2016.12.28","수요일",2810,135741,1.32,12.27311123
"2016.12.29","목요일",3234,78024,0.72,13.41484435
"2016.12.30","금요일",2992,201859,0.34,6.702035318
"2016.12.31","토요일",3055,98090,-0.24,8.767762607
"2017.1.2","월요일",3167,35306,0.62,6.551259678
"2017.1.3","화요일",3095,250238,1.62,3.16666838
"2017.1.4","수요일",2970,148447,2.64,1.04415245
"2017.1.5","목요일",3148,81791.5,3.78,2.60747079
"2017.1.6","금요일",3035,192032,4.48,1.657067873
"2017.1.7","토요일",2959,113050.5,4.18,0.712963991
"2017.1.9","월요일",3093,161470.2,4.34,0.782978323
"2017.1.10","화요일",3044,150284,3.66,0.739633831
"2017.1.11","수요일",2959,125798.5,2.46,0.736514239
"2017.1.12","목요일",2519,120267,1.56,0.781623881
"2017.1.13","금요일",2855,184996.5,0.32,0.832378109
"2017.1.14","토요일",2668,117003,-1.56,0.254630846
"2017.1.16","월요일",2692,164029,-2.24,0.815765174
"2017.1.17","화요일",2627,133660,-2.24,0.169337313
"2017.1.18","수요일",2642,123512,-2.28,0.202268657
"2017.1.19","목요일",2685,93197,-1.82,0.14201791
"2017.1.20","금요일",2694,172349,-1.16,1.483653731
"2017.1.21","토요일",2570,101571.5,-1.08,1.602825871
"2017.1.23","월요일",2673,177944,-1.92,1.576855721
"2017.1.24","화요일",2600,136113,-2.96,1.599040796
"2017.1.25","수요일",2548,129781,-3.72,1.544039801
"2017.1.26","목요일",2730,166905.8,-3.56,1.54400398
"2017.1.27","금요일",2315,57375,-2.74,1.849098507
"2017.1.31","화요일",2391,67782,-2.14,1.849098507
"2017.2.1","수요일",2522,335353,-1.44,0.473245771
"2017.2.2","목요일",2554,151389,-0.88,1.704855721
"2017.2.3","금요일",2721,179669.7,-0.34,0.458579104
"2017.2.4","토요일",2692,172136,0.18,0.549743284
"2017.2.6","월요일",2941,203833,0.92,0.535076617
"2017.2.7","화요일",2849,210697,1.18,0.525834826
"2017.2.8","수요일",2919,198081.5,1.52,0.238372139
"2017.2.9","목요일",2999,122966,0.74,0.564692537
"2017.2.10","금요일",2960,240684.5,-0.9,0.403096517
"2017.2.11","토요일",2921,153696,-1.62,0.429393035
"2017.2.13","월요일",3000,235153.5,-1.44,0.475765174
"2017.2.14","화요일",2918,223413.5,-1.3,0.258614925
"2017.2.15","수요일",2972,208303.5,-0.4,0.479355224
"2017.2.16","목요일",3116,139482.5,1.84,0.568206965
"2017.2.17","금요일",2995,278120,3.52,0.969799005
"2017.2.18","토요일",3008,205761,3.32,0.947721393
"2017.2.20","월요일",3008,321062.5,3.6,1.903653731
"2017.2.21","화요일",2789,249017,3.28,1.99038806
"2017.2.22","수요일",2788,261882,2.58,5.166519403
"2017.2.23","목요일",2881,143636,1.74,5.183004975
"2017.2.24","금요일",2672,318825.2,1.86,5.140222886
"2017.2.25","토요일",2748,255365,1.9,4.827040796
"2017.2.27","월요일",2871,354043.9,2.46,4.740939303
"2017.2.28","화요일",2731,258291.7,2.7,4.841329353
"2017.3.1","수요일",2877,264357,3.66,3.831028856
"2017.3.2","목요일",2924,202010.5,4.18,5.612776119
"2017.3.3","금요일",2833,384092,4.34,1.195717413
"2017.3.4","토요일",2830,313012,4.74,4.535422886
"2017.3.6","월요일",2877,439530.5,4.36,1.337775124
"2017.3.7","화요일",2608,322335.5,3.14,1.4656
"2017.3.8","수요일",2717,302818,2.78,1.461472637
"2017.3.9","목요일",2788,243429,3,1.475761194
"2017.3.10","금요일",2576,436128,2.96,0.984437811
"2017.3.11","토요일",2576,340750.5,3.68,0.757078607
"2017.3.13","월요일",2604,529293,5.24,0.989914428
"2017.3.14","화요일",2482,360284,6.06,0.578244776
"2017.3.15","수요일",2552,399331,6.02,0.436187065
"2017.3.16","목요일",2634,313603.5,6.06,0.4504199
"2017.3.17","금요일",2466,502803.5,6.14,0.426025871
"2017.3.18","토요일",2474,400843.5,6.24,0.308362189
"2017.3.20","월요일",2542,554499.5,6.8,0.893484577
"2017.3.21","화요일",2406,381375.5,7.26,1.349337313
"2017.3.22","수요일",2490,382369.5,7.52,1.343860697
"2017.3.23","목요일",2594,261586.5,7.88,1.102833831
"2017.3.24","금요일",2567,479212,7.76,1.390081592
"2017.3.25","토요일",2634,423334,7.38,2.278567164
"2017.3.27","월요일",2659,561767.5,7.16,2.554169154
"2017.3.28","화요일",2556,378593,7.24,2.717150249
"2017.3.29","수요일",2633,393122,7.2,2.358097512
"2017.3.30","목요일",2693,298860.5,7.74,2.497528358
"2017.3.31","금요일",2657,442626.6,8.2,3.471068657
"2017.4.1","토요일",2871,407870,8.5,3.780923383
"2017.4.3","월요일",2855,575354.2,9.34,3.827144279
"2017.4.4","화요일",2713,440722,10.32,2.599713433
"2017.4.5","수요일",2651,518207,10.88,7.410567164
"2017.4.6","목요일",2614,347862.5,11.86,8.467406965
"2017.4.7","금요일",2516,572555,13.2,8.118555224
"2017.4.8","토요일",2532,607628.5,13.88,8.197966169
"2017.4.10","월요일",2307,962598.5,13.88,6.877691542
"2017.4.11","화요일",2157,689670.5,13.66,9.123287562
"2017.4.12","수요일",2041,825937.5,13.4,8.825635821
"2017.4.13","목요일",1961,666382.5,13.18,8.013707463
"2017.4.14","금요일",1715,875941,13.14,4.378479602
"2017.4.15","토요일",1567,819599,13.98,6.181110448
"2017.4.17","월요일",1495,1058669.5,14.26,7.779677612
"2017.4.18","화요일",1457,673721,14.46,6.486121393
"2017.4.19","수요일",1522,752865,14.5,6.463355224
"2017.4.20","목요일",1592,600719,14.04,4.752274627
"2017.4.21","금요일",1580,778421.5,13.12,6.684855721
"2017.4.22","토요일",1613,691273,13,4.804955224
"2017.4.24","월요일",1618,1014267.2,13.34,4.531546269
"2017.4.25","화요일",1598,650686.4,14.06,4.937404975
"2017.4.26","수요일",1693,714505,14.56,1.53761592
"2017.4.27","목요일",1785,550851.6,14.56,4.055152239
"2017.4.28","금요일",1796,694208,14.98,1.51480199
"2017.4.29","토요일",1809,665950,15.4,0.469452736
"2017.5.1","월요일",1856,906970.5,15.58,0.659812935
"2017.5.2","화요일",1917,628193.5,15.98,0.408191045
"2017.5.3","수요일",1890,629941.5,17.04,0.449106468
"2017.5.4","목요일",1840,512630.4,17.84,0.33518408
"2017.5.5","금요일",1758,678674.5,18.38,0.988326368
"2017.5.6","토요일",1721,675635,18.16,1.055470647
"2017.5.8","월요일",1617,1052506.8,18.42,0.831383085
"2017.5.9","화요일",1539,598214.5,17.74,3.091299502
"2017.5.10","수요일",1594,622086.5,17.02,3.358949254
"2017.5.11","목요일",1656,494290.5,16.84,3.412047761
"2017.5.12","금요일",1703,592544.5,17.1,3.843661692
"2017.5.13","토요일",1722,613997.5,16.96,4.737058706
"2017.5.15","월요일",1741,766361.5,17.18,4.122766169
"2017.5.16","화요일",1794,553042.5,17.38,4.739418905
"2017.5.17","수요일",1865,617527.5,17.08,4.119677612
"2017.5.18","목요일",1920,425321,17.42,1.858081592
"2017.5.19","금요일",1978,597015,18.22,3.855418905
"2017.5.20","토요일",1931,592553.5,19.22,1.799880597
"2017.5.22","월요일",1928,908571,19.96,1.160497512
"2017.5.23","화요일",1887,647307.5,20.4,1.028712438
"2017.5.24","수요일",1829,727382,20.42,2.590762189
"2017.5.25","목요일",1778,600963.6,20.04,1.589010945
"2017.5.26","금요일",1696,823157.5,19.06,1.512851741
"2017.5.27","토요일",1564,744419,18.52,1.612748259
"2017.5.29","월요일",1458,1081083.5,19.28,1.510491542
"2017.5.30","화요일",1372,659949,19.94,1.510491542
"2017.5.31","수요일",1386,741006.8,20.34,2.098921393
"2017.6.1","목요일",1374,519781,21.32,2.406471642
"2017.6.2","금요일",1317,715071,21.62,1.930845771
"2017.6.3","토요일",1322,657644,20.8,2.519872637
"2017.6.5","월요일",1277,1035059,20.24,1.501862687
"2017.6.6","화요일",1246,656387,19.48,4.217225871
"2017.6.7","수요일",1265,705247.5,18.96,5.463510448
"2017.6.8","목요일",1257,538543,19.26,5.463510448
"2017.6.9","금요일",1277,699086,19.8,5.154065672
"2017.6.10","토요일",1258,745789.5,19.98,5.035916418
"2017.6.12","월요일",1228,945496,20.32,5.22481194
"2017.6.13","화요일",1282,626042,20.48,4.83358408
"2017.6.14","수요일",1337,646033,20.52,4.894654726
"2017.6.15","목요일",1387,522183.5,20.64,2.115793035
"2017.6.16","금요일",1453,632275,20.84,3.537397015
"2017.6.17","토요일",1489,601536,21.42,2.115793035
"2017.6.19","월요일",1467,776487,22.42,0.56678607
"2017.6.20","화요일",1482,522633,22.92,1.238459701
"2017.6.21","수요일",1499,622899,23.08,1.15518806
"2017.6.22","목요일",1519,531185,23.42,0.595319403
"2017.6.23","금요일",1496,699539.2,23.88,1.069257711
"2017.6.24","토요일",1399,713405.2,23.68,1.458857711
"2017.6.26","월요일",1262,1067323.9,23.48,4.453715423
"2017.6.27","화요일",1100,795950,23.42,5.2767801
"2017.6.28","수요일",974,780282.2,23.48,5.525763184
"2017.6.29","목요일",906,663121.3,23.32,6.476095522
"2017.6.30","금요일",864,651303.5,23.74,6.90878408
"2017.7.1","토요일",755,673343,24.36,7.520967164
"2017.7.3","월요일",772,790588.1,24.86,14.98067662
"2017.7.4","화요일",757,591783.6,25.1,18.50429453
"2017.7.5","수요일",790,555256,25.52,16.68821493
"2017.7.6","목요일",879,475869,25.54,21.4399403
"2017.7.7","금요일",915,483687.9,25.68,20.26204577
"2017.7.8","토요일",838,572529.4,25.68,24.99578905
"2017.7.10","월요일",795,734213.4,25.82,33.36251542
"2017.7.11","화요일",824,477519.8,25.92,32.73212338
"2017.7.12","수요일",880,504229.6,26.28,26.10105075
"2017.7.13","목요일",883,431153.7,26.5,28.30582687
"2017.7.14","금요일",958,392946.3,26.74,26.60469254
"2017.7.15","토요일",996,412643.6,26.62,23.88571144
"2017.7.17","월요일",1019,593670.2,26.6,27.05600796
"2017.7.18","화요일",1046,484854.7,26.36,18.95374726
"2017.7.19","수요일",1126,477090.6,26.42,17.22366169
"2017.7.20","목요일",1114,411109.7,26.74,15.96444577
"2017.7.21","금요일",1184,383528.2,27.52,10.86189453
"2017.7.22","토요일",1175,409386,27.8,11.24652736
"2017.7.24","월요일",1282,529798,28.02,11.50370547
"2017.7.25","화요일",1270,409491.6,27.9,10.29166567
"2017.7.26","수요일",1281,393961.7,27.42,11.94195821
"2017.7.27","목요일",1266,325541.9,26.64,7.699526368
"2017.7.28","금요일",1384,315275.2,26.28,9.462053731
