"date","요일","가격","토마토거래량","smartfarm_stock","서울대_s3"
"2016.9.20","화요일",1460,390764,11362.63653,0.116696589
"2016.9.21","수요일",1745,334664,10900,0.0952380952
"2016.9.22","목요일",1899,279879,9900,-0.0022172949
"2016.9.23","금요일",1962,276057,9500,0.0314049587
"2016.9.24","토요일",1873,315149,9073.834325,-0.100775194
"2016.9.26","월요일",1967,317463,9000,0.124293785
"2016.9.27","화요일",2020,186819,9450,0.0754098361
"2016.9.28","수요일",2272,189672,9390,0.00945179584
"2016.9.29","목요일",2423,168207,10700,0.0381426202
"2016.9.30","금요일",2781,193407,11300,0
"2016.10.1","토요일",2861,219975,11418.84845,0.141762452
"2016.10.3","월요일",3222,239858,11292.40439,-0.0416666667
"2016.10.4","화요일",3420,220570,10900,0.143529412
"2016.10.5","수요일",3439,220098,10350,-0.036809816
"2016.10.6","목요일",3552,197677,10100,0.0263929619
"2016.10.7","금요일",3607,218764,10000,0.142857143
"2016.10.8","토요일",3407,228545,9646.101312,0.25
"2016.10.10","월요일",3655,282211,9321.870933,0.18466899
"2016.10.11","화요일",3393,230855.5,9500,-0.00787401575
"2016.10.12","수요일",3485,224838,10200,0.0119047619
"2016.10.13","목요일",3483,171538,10200,0.380952381
"2016.10.14","금요일",3853,183180,9950,0.171875
"2016.10.15","토요일",3651,204431.5,9790.311952,0.206349206
"2016.10.17","월요일",3593,264510,9741.562973,0.010989011
"2016.10.18","화요일",3246,238804,9784.532507,0.00884955752
"2016.10.19","수요일",3249,231185,9900,0.037037037
"2016.10.20","목요일",2979,233343,10000,0.0938511327
"2016.10.21","금요일",2855,273619,9900,0.0368663594
"2016.10.22","토요일",2364,347984.5,9920.384776,0
"2016.10.24","월요일",2364,374444,10000,0.129032258
"2016.10.25","화요일",2154,284882,10000,0.129032258
"2016.10.26","수요일",2184,248003,9990,0.116666667
"2016.10.27","목요일",2087,249096,9950,0.213483146
"2016.10.28","금요일",2113,240415,9877.074388,0.0957446809
"2016.10.29","토요일",1896,274367.5,9834.651326,0.103448276
"2016.10.31","월요일",2070,278094.5,9900,0.186104218
"2016.11.1","화요일",1945,188635,9890,0.401869159
"2016.11.2","수요일",2163,202074,9500,0.0810810811
"2016.11.3","목요일",2113,130722,10000,0.156862745
"2016.11.4","금요일",2434,179532.6,8500,0.0447761194
"2016.11.5","토요일",2177,170862,8132.930977,0.0540540541
"2016.11.7","월요일",2367,242084,9000,0.342342342
"2016.11.8","화요일",2283,151503,9500,-0.0131233596
"2016.11.9","수요일",2395,194227,8080,0.208053691
"2016.11.10","목요일",2481,124835,7860,0.190909091
"2016.11.11","금요일",2498,208180,9030,0.0642857143
"2016.11.12","토요일",2302,177352,10068.00318,-0.130434783
"2016.11.14","월요일",2389,224704,10000,0
"2016.11.15","화요일",2256,168216,8500,0.0212765957
"2016.11.16","수요일",2410,177544,7300,-0.0628019324
"2016.11.17","목요일",2443,136522,8300,0.156028369
"2016.11.18","금요일",2391,214229,9400,0.146666667
"2016.11.19","토요일",2227,194365,9630.500071,0.173913043
"2016.11.21","월요일",2341,197214,9480,0.102040816
"2016.11.22","화요일",2321,163623,9480,0.289855072
"2016.11.23","수요일",2248,181453,9477.265588,0.220447284
"2016.11.24","목요일",2311,124215,9450,0.53125
"2016.11.25","금요일",2358,161633,9440,0.169811321
"2016.11.26","토요일",2280,161449,9430.866548,-0.111111111
"2016.11.28","월요일",2414,155943,9430,0.138047138
"2016.11.29","화요일",2470,116252,9450,-0.2
"2016.11.30","수요일",2396,152454.8,9470,-0.025862069
"2016.12.1","목요일",2448,98097,9470,0.158798283
"2016.12.2","금요일",2865,157789,9573.327664,-0.130434783
"2016.12.3","토요일",3135,92830,9640.147164,0
"2016.12.5","월요일",3404,158114.5,9450,0.142857143
"2016.12.6","화요일",3300,134426,9000,0.241758242
"2016.12.7","수요일",3473,135923,8906.597003,0.213483146
"2016.12.8","목요일",3514,88679,9000,0.11827957
"2016.12.9","금요일",3338,173941,8957.8498,0.290322581
"2016.12.10","토요일",3215,125538.5,8851.327672,0.133333333
"2016.12.12","월요일",3246,163480,8850,0.125748503
"2016.12.13","화요일",3252,134660.5,8900,0.12195122
"2016.12.14","수요일",3014,152178.5,8850,0.122641509
"2016.12.15","목요일",3277,93453,9990,0.205240175
"2016.12.16","금요일",3021,178785,9800,0.265625
"2016.12.17","토요일",2931,121823,9547.280795,-0.0434782609
"2016.12.19","월요일",3099,167548,9604.052676,0.212765957
"2016.12.20","화요일",3097,128959,9750,-0.0540540541
"2016.12.21","수요일",2831,136647,9500,0.027027027
"2016.12.22","목요일",3069,92942,8300,0.0303030303
"2016.12.23","금요일",2999,180288,8400,-0.0169491525
"2016.12.24","토요일",3000,100695,9374.522091,-0.307692308
"2016.12.26","월요일",3157,144635,9520,0.392592593
"2016.12.27","화요일",3129,127491,8590,0.023255814
"2016.12.28","수요일",2810,135741,9730,-0.0786516854
"2016.12.29","목요일",3234,78024,9000,-0.0243902439
"2016.12.30","금요일",2992,201859,8933.625103,0.25
"2016.12.31","토요일",3055,98090,9491.879038,0.205673759
"2017.1.2","월요일",3167,35306,9330,0.0975609756
"2017.1.3","화요일",3095,250238,8370,0.193548387
"2017.1.4","수요일",2970,148447,9190,0.00826446281
"2017.1.5","목요일",3148,81791.5,8600,0.209302326
"2017.1.6","금요일",3035,192032,9280,0.314814815
"2017.1.7","토요일",2959,113050.5,9095.996099,-0.0909090909
"2017.1.9","월요일",3093,161470.2,8550,0.216
"2017.1.10","화요일",3044,150284,8700,0.0456852792
"2017.1.11","수요일",2959,125798.5,8600,-0.217391304
"2017.1.12","목요일",2519,120267,8590,-0.130434783
"2017.1.13","금요일",2855,184996.5,8500,0.0036101083
"2017.1.14","토요일",2668,117003,8563.726352,-0.0196078431
"2017.1.16","월요일",2692,164029,8500,0.147826087
"2017.1.17","화요일",2627,133660,8076.495027,0.244094488
"2017.1.18","수요일",2642,123512,8000,-0.151515152
"2017.1.19","목요일",2685,93197,8500,0.1875
"2017.1.20","금요일",2694,172349,8000,-0.171428571
"2017.1.21","토요일",2570,101571.5,7803.864553,0.714285714
"2017.1.23","월요일",2673,177944,7950,-0.0275229358
"2017.1.24","화요일",2600,136113,7950,-0.0927835052
"2017.1.25","수요일",2548,129781,7950,0.170212766
"2017.1.26","목요일",2730,166905.8,8980,0.137254902
"2017.1.27","금요일",2315,57375,9414.083599,0.0357142857
"2017.1.31","화요일",2391,67782,8800,0.174193548
"2017.2.1","수요일",2522,335353,8010,0.222222222
"2017.2.2","목요일",2554,151389,9210,0.010989011
"2017.2.3","금요일",2721,179669.7,9390,0.217391304
"2017.2.4","토요일",2692,172136,9666.484723,-0.310344828
"2017.2.6","월요일",2941,203833,9390,0.137096774
"2017.2.7","화요일",2849,210697,8430,0.182222222
"2017.2.8","수요일",2919,198081.5,9400,0.11409396
"2017.2.9","목요일",2999,122966,8420,0.444444444
"2017.2.10","금요일",2960,240684.5,9390,0.220125786
"2017.2.11","토요일",2921,153696,9028.109113,0.102564103
"2017.2.13","월요일",3000,235153.5,8400,0.298245614
"2017.2.14","화요일",2918,223413.5,9160,0.00847457627
"2017.2.15","수요일",2972,208303.5,9100,0.08
"2017.2.16","목요일",3116,139482.5,8890,0.238095238
"2017.2.17","금요일",2995,278120,7970,0
"2017.2.18","토요일",3008,205761,7833.852195,0.351351351
"2017.2.20","월요일",3008,321062.5,7970,0.241666667
"2017.2.21","화요일",2789,249017,7940,-0.0588235294
"2017.2.22","수요일",2788,261882,9130,0.133333333
"2017.2.23","목요일",2881,143636,9080,0.466666667
"2017.2.24","금요일",2672,318825.2,8000,0.224489796
"2017.2.25","토요일",2748,255365,8185.567,0.130434783
"2017.2.27","월요일",2871,354043.9,8500,0.102362205
"2017.2.28","화요일",2731,258291.7,7790,0
"2017.3.1","수요일",2877,264357,7876.950411,0.181818182
"2017.3.2","목요일",2924,202010.5,7790,0.0744680851
"2017.3.3","금요일",2833,384092,6630,0.272727273
"2017.3.4","토요일",2830,313012,6588.414364,0.333333333
"2017.3.6","월요일",2877,439530.5,7000,-0.0549450549
"2017.3.7","화요일",2608,322335.5,7000,-0.15862069
"2017.3.8","수요일",2717,302818,7500,-0.5
"2017.3.9","목요일",2788,243429,6700,-0.209302326
"2017.3.10","금요일",2576,436128,7000,0.161904762
"2017.3.11","토요일",2576,340750.5,7583.109755,0.0731707317
"2017.3.13","월요일",2604,529293,7946.640093,0.285714286
"2017.3.14","화요일",2482,360284,8000,0.0666666667
"2017.3.15","수요일",2552,399331,7800,0.206896552
"2017.3.16","목요일",2634,313603.5,7800,0
"2017.3.17","금요일",2466,502803.5,7900,0.12
"2017.3.18","토요일",2474,400843.5,8062.290239,0
"2017.3.20","월요일",2542,554499.5,8198.564256,0
"2017.3.21","화요일",2406,381375.5,8190,-0.0217391304
"2017.3.22","수요일",2490,382369.5,8090,0
"2017.3.23","목요일",2594,261586.5,8290,-0.132075472
"2017.3.24","금요일",2567,479212,8260,0.037037037
"2017.3.25","토요일",2634,423334,8232.942533,0.102564103
"2017.3.27","월요일",2659,561767.5,8250,0.0263157895
"2017.3.28","화요일",2556,378593,8259.409276,0.307692308
"2017.3.29","수요일",2633,393122,8339.235294,0.311827957
"2017.3.30","목요일",2693,298860.5,8600,0.136363636
"2017.3.31","금요일",2657,442626.6,9000,0.361702128
"2017.4.1","토요일",2871,407870,9055.747843,-0.0476190476
"2017.4.3","월요일",2855,575354.2,8800,0
"2017.4.4","화요일",2713,440722,8500,0.25
"2017.4.5","수요일",2651,518207,8480,0.176470588
"2017.4.6","목요일",2614,347862.5,8427.429072,0.176470588
"2017.4.7","금요일",2516,572555,8400,0.3125
"2017.4.8","토요일",2532,607628.5,8503.092503,0
"2017.4.10","월요일",2307,962598.5,8450,-0.274509804
"2017.4.11","화요일",2157,689670.5,8063.950916,-0.0158730159
"2017.4.12","수요일",2041,825937.5,8000,0.118881119
"2017.4.13","목요일",1961,666382.5,8440,0.105691057
"2017.4.14","금요일",1715,875941,7900,0.0987654321
"2017.4.15","토요일",1567,819599,7785.252742,0.421052632
"2017.4.17","월요일",1495,1058669.5,7900,-0.153846154
"2017.4.18","화요일",1457,673721,7890,0.135135135
"2017.4.19","수요일",1522,752865,8780,0.14893617
"2017.4.20","목요일",1592,600719,9460,-0.0724637681
"2017.4.21","금요일",1580,778421.5,8900,-0.0574712644
"2017.4.22","토요일",1613,691273,8996.575437,0
"2017.4.24","월요일",1618,1014267.2,9450,0
"2017.4.25","화요일",1598,650686.4,9330,0.0422535211
"2017.4.26","수요일",1693,714505,8690,0.0291262136
"2017.4.27","목요일",1785,550851.6,8680,0.2
"2017.4.28","금요일",1796,694208,8879.385413,0.347826087
"2017.4.29","토요일",1809,665950,9077.650419,0
"2017.5.1","월요일",1856,906970.5,9249.590215,-0.12
"2017.5.2","화요일",1917,628193.5,9370,0.0759493671
"2017.5.3","수요일",1890,629941.5,9410.498681,0.123287671
"2017.5.4","목요일",1840,512630.4,9330,0.20610687
"2017.5.5","금요일",1758,678674.5,9123.874952,0.0793650794
"2017.5.6","토요일",1721,675635,8946.028712,0.105882353
"2017.5.8","월요일",1617,1052506.8,8990,0.0923076923
"2017.5.9","화요일",1539,598214.5,9334.63378,0.733333333
"2017.5.10","수요일",1594,622086.5,9600,0.272727273
"2017.5.11","목요일",1656,494290.5,9530,0.0487804878
"2017.5.12","금요일",1703,592544.5,9623.675617,0.359223301
"2017.5.13","토요일",1722,613997.5,9822.75345,0.0980392157
"2017.5.15","월요일",1741,766361.5,9870,-0.023255814
"2017.5.16","화요일",1794,553042.5,9640,0.416666667
"2017.5.17","수요일",1865,617527.5,9436.172456,-0.0344827586
"2017.5.18","목요일",1920,425321,9300,0.274193548
"2017.5.19","금요일",1978,597015,9187.482586,-0.0724637681
"2017.5.20","토요일",1931,592553.5,9106.444059,0.363636364
"2017.5.22","월요일",1928,908571,9077.66424,0
"2017.5.23","화요일",1887,647307.5,9121.922947,0.0396039604
"2017.5.24","수요일",1829,727382,9260,0.177419355
"2017.5.25","목요일",1778,600963.6,9498.683007,0.147679325
"2017.5.26","금요일",1696,823157.5,9788.790736,0.114035088
"2017.5.27","토요일",1564,744419,10067.14974,0
"2017.5.29","월요일",1458,1081083.5,10270.58658,0.391304348
"2017.5.30","화요일",1372,659949,10335.92782,0.1875
"2017.5.31","수요일",1386,741006.8,10200,0.375722543
"2017.6.1","목요일",1374,519781,9900,0
"2017.6.2","금요일",1317,715071,9800,-0.136363636
"2017.6.3","토요일",1322,657644,9929.83511,0
"2017.6.5","월요일",1277,1035059,9700,0.21686747
"2017.6.6","화요일",1246,656387,8758.735302,-0.153846154
"2017.6.7","수요일",1265,705247.5,8250,0.11409396
"2017.6.8","목요일",1257,538543,9090,-0.2
"2017.6.9","금요일",1277,699086,9800,0.0485436893
"2017.6.10","토요일",1258,745789.5,9049.396242,0.037593985
"2017.6.12","월요일",1228,945496,8330,-0.0843373494
"2017.6.13","화요일",1282,626042,8490,0.238095238
"2017.6.14","수요일",1337,646033,7310,0.059602649
"2017.6.15","목요일",1387,522183.5,8290,0.307692308
"2017.6.16","금요일",1453,632275,9400,-0.0666666667
"2017.6.17","토요일",1489,601536,10009.5156,0.265306122
"2017.6.19","월요일",1467,776487,9350,-0.268292683
"2017.6.20","화요일",1482,522633,7950,0.428571429
"2017.6.21","수요일",1499,622899,9110,-0.0747663551
"2017.6.22","목요일",1519,531185,7750,0.348148148
"2017.6.23","금요일",1496,699539.2,8490,0.0829268293
"2017.6.24","토요일",1399,713405.2,8375.746261,0.222222222
"2017.6.26","월요일",1262,1067323.9,7870,0.098265896
"2017.6.27","화요일",1100,795950,7990,0.156756757
"2017.6.28","수요일",974,780282.2,7170,0.319148936
"2017.6.29","목요일",906,663121.3,8000,0.252747253
"2017.6.30","금요일",864,651303.5,7170,-0.285714286
"2017.7.1","토요일",755,673343,7238.755422,0.266666667
"2017.7.3","월요일",772,790588.1,7690,0.194444444
"2017.7.4","화요일",757,591783.6,7400,0.625
"2017.7.5","수요일",790,555256,7380,0
"2017.7.6","목요일",879,475869,6700,0.256578947
"2017.7.7","금요일",915,483687.9,7000,0.0810810811
"2017.7.8","토요일",838,572529.4,7189.873021,0
"2017.7.10","월요일",795,734213.4,7000,0.583333333
"2017.7.11","화요일",824,477519.8,6990,0.203252033
"2017.7.12","수요일",880,504229.6,8000,0.170068027
"2017.7.13","목요일",883,431153.7,8000,0.131313131
"2017.7.14","금요일",958,392946.3,8000,0.298245614
"2017.7.15","토요일",996,412643.6,7238.843688,0
"2017.7.17","월요일",1019,593670.2,6900,0.125
"2017.7.18","화요일",1046,484854.7,7930,0.228426396
"2017.7.19","수요일",1126,477090.6,8233.735172,0.277777778
"2017.7.20","목요일",1114,411109.7,7930,-0.0367346939
"2017.7.21","금요일",1184,383528.2,7761.723579,0.0793650794
"2017.7.22","토요일",1175,409386,7795.773034,0
"2017.7.24","월요일",1282,529798,7930,0.195652174
"2017.7.25","화요일",1270,409491.6,7930,0
"2017.7.26","수요일",1281,393961.7,7333.425701,-0.0638297872
"2017.7.27","목요일",1266,325541.9,6750,0.188405797
"2017.7.28","금요일",1384,315275.2,6750,-0.0416666667
"2017.7.29","토요일",1314,330698,6761.290775,-0.189189189
