date,요일,가격,유가,대파_가중_강수량,군산대_s1
2016.7.7,목요일,1015,46.4,0.549796282,1
2016.7.8,금요일,932,46.76,2.530735931,0.769230769
2016.7.9,토요일,801,48.37426344,0.01157372,1
2016.7.11,월요일,961,46.25,2.563279857,0.555555556
2016.7.12,화요일,965,48.47,19.2921696,0.818181818
2016.7.13,수요일,984,46.26,0.569786096,0.578947368
2016.7.14,목요일,906,47.37,2.773720397,0.411764706
2016.7.15,금요일,829,47.61,0.817201426,1
2016.7.16,토요일,988,46.84284103,31.57235803,0.333333333
2016.7.18,월요일,1213,46.96,0.046600458,0.714285714
2016.7.19,화요일,944,46.66,0.109638401,0.529411765
2016.7.20,수요일,853,47.17,0.053514133,0.789473684
2016.7.21,목요일,699,46.2,0,1
2016.7.22,금요일,736,45.69,0,0.5
2016.7.23,토요일,767,44.4545277,1.650445633,NA
2016.7.25,월요일,917,44.72,2.445594601,0.388888889
2016.7.26,화요일,810,44.87,0.018716578,0.363636364
2016.7.27,수요일,767,43.47,1.474586198,0.75
2016.7.28,목요일,860,42.7,0.893366437,0.6
2016.7.29,금요일,861,42.46,11.06297428,0.304347826
2016.7.30,토요일,992,42.97060425,3.165711739,NA
2016.8.1,월요일,1121,42.14,1.72438248,1
2016.8.2,화요일,1064,41.8,1.44246244,0
2016.8.3,수요일,1081,43.1,1.864298447,NA
2016.8.4,목요일,1099,44.29,1.07486631,1
2016.8.5,금요일,1598,44.27,0.385357779,0.625
2016.8.6,토요일,1358,44.1694971,0.906531704,0.6
2016.8.8,월요일,1578,45.39,3.92438248,0.5
2016.8.9,화요일,1112,44.98,0.457512096,0.846153846
2016.8.10,수요일,932,44.05,0,0
2016.8.11,목요일,930,46.04,0,0.894736842
2016.8.12,금요일,952,46.97,0,0.333333333
2016.8.13,토요일,1119,48.03016789,0,0
2016.8.15,월요일,1320,48.35,2.393888464,1
2016.8.16,화요일,1307,49.23,1.501769799,0.36
2016.8.17,수요일,1355,49.85,0.66232493,0.517241379
2016.8.18,목요일,1576,50.89,0.289330278,0.80952381
2016.8.19,금요일,1434,50.88,0.776012223,0.741935484
2016.8.20,토요일,1480,50.12925063,0.226279603,1
2016.8.22,월요일,1389,49.16,0.319149478,0.457142857
2016.8.23,화요일,1337,49.96,2.691303794,0.578947368
2016.8.24,수요일,1326,49.05,0.061955691,0.625
2016.8.25,목요일,1321,49.67,3.114311179,0.65
2016.8.26,금요일,1379,49.92,12.41674306,NA
2016.8.27,토요일,1600,48.34603516,1.360071301,1
2016.8.29,월요일,1791,49.26,3.241061879,0.588235294
2016.8.30,화요일,1782,48.37,0.948370257,0.652173913
2016.8.31,수요일,1858,47.04,7.604558187,0.333333333
2016.9.1,목요일,1942,45.45,1.128545964,0.170731707
2016.9.2,금요일,1922,46.83,18.82834225,0.777777778
2016.9.3,토요일,1984,47.71843531,7.314896868,0.0769230769
2016.9.5,월요일,1706,47.63,1.308135982,0.826086957
2016.9.6,화요일,1573,47.26,0,0.666666667
2016.9.7,수요일,1361,47.98,0.695645531,0.481481481
2016.9.8,목요일,1192,49.99,2.750038197,0.756097561
2016.9.9,금요일,1233,48.01,1.32846957,0.395348837
2016.9.10,토요일,1202,47.77220595,3.680723198,NA
2016.9.12,월요일,1439,48.32,6.316730328,0.324675325
2016.9.13,화요일,2202,47.1,0.031423478,0.68627451
2016.9.14,수요일,2231,45.85,0.032925898,0.6
2016.9.17,토요일,3182,46.2604035,88.38525592,NA
2016.9.19,월요일,1530,45.95,0.345034377,0.555555556
2016.9.20,화요일,1791,45.88,0,0.52173913
2016.9.21,수요일,2095,46.83,0,0.673469388
2016.9.22,목요일,1915,47.65,0.016959511,0.616438356
2016.9.23,금요일,1744,45.89,0,0.524752475
2016.9.24,토요일,1524,47.07071786,0,0.416666667
2016.9.26,월요일,1555,47.35,1.911764706,0.559322034
2016.9.27,화요일,1557,45.97,5.425426534,0.633333333
2016.9.28,수요일,1604,48.69,9.239330278,0.555555556
2016.9.29,목요일,1431,49.24,1.445161701,0.533333333
2016.9.30,금요일,1395,49.06,21.62820219,0.592592593
2016.10.1,토요일,1436,50.09915281,5.365189712,0.6
2016.10.3,월요일,1923,50.89,11.5846957,0.666666667
2016.10.4,화요일,1678,50.87,1.840132417,0.717948718
2016.10.5,수요일,1645,51.86,55.22664884,0.807017544
2016.10.6,목요일,1978,52.51,0.062846957,0.48
2016.10.7,금요일,1684,51.93,8.406226127,0.5
2016.10.8,토요일,1729,51.9765773,28.4697861,0.466666667
2016.10.10,월요일,1801,53.14,0,0.358490566
2016.10.11,화요일,1786,52.41,0,0.571428571
2016.10.12,수요일,1661,51.81,0.015711739,0.333333333
2016.10.13,목요일,1614,52.03,0,0.75
2016.10.14,금요일,1547,51.95,0,0.45
2016.10.15,토요일,1587,52.3684253,0,0.384615385
2016.10.17,월요일,1651,51.52,0.423554876,0.444444444
2016.10.18,화요일,1627,51.68,0.039279348,0.25
2016.10.19,수요일,1529,52.67,0,0.666666667
2016.10.20,목요일,1500,51.38,0.102126305,0.84
2016.10.21,금요일,1443,51.78,1.186567354,0.632653061
2016.10.22,토요일,1472,51.34804327,1.04311179,NA
2016.10.24,월요일,1644,51.46,0.07841864,0.538461538
2016.10.25,화요일,1711,50.79,15.44837026,0.304347826
2016.10.26,수요일,2067,49.98,0.190145149,0.246753247
2016.10.27,목요일,1668,50.47,0.014629488,0.490196078
2016.10.28,금요일,1595,49.71,6.47223071,0.647058824
2016.10.29,토요일,1711,48.88410302,1.014349376,1
2016.10.31,월요일,1668,48.3,0.672256175,0.591836735
2016.11.1,화요일,1684,48.14,0,0.58974359
2016.11.2,수요일,1731,46.86,0.104125286,0.6875
2016.11.3,목요일,1816,46.35,0.107435702,0.449275362
2016.11.4,금요일,1802,45.58,0,0.578947368
2016.11.5,토요일,1764,46.05398663,0.267099567,0.333333333
2016.11.7,월요일,1636,46.15,1.630061115,0.519230769
2016.11.8,화요일,1758,46.04,2.300178253,0.473684211
2016.11.9,수요일,1690,46.36,0,0.44
2016.11.10,목요일,1651,45.84,4.137713267,0.5
2016.11.11,금요일,1829,44.75,1.234046346,0.147540984
2016.11.12,토요일,1842,45.63456584,0,1
2016.11.14,월요일,1904,44.43,4.636541889,NA
2016.11.15,화요일,1971,46.95,0,0.829787234
2016.11.16,수요일,1932,46.63,0,0.947368421
2016.11.17,목요일,1907,46.49,0,0.433962264
2016.11.18,금요일,2075,46.86,17.28899924,0.333333333
2016.11.19,토요일,2042,47.68520037,1.15925643,0.636363636
2016.11.21,월요일,1995,48.9,0.263419913,0.263157895
2016.11.22,화요일,1976,49.12,0.922561752,0.272727273
2016.11.23,수요일,2037,48.95,0.036325439,0.4
2016.11.24,목요일,2118,49,0.001871658,0.777777778
2016.11.25,금요일,2035,47.24,0,0.375
2016.11.26,토요일,1885,48.56710756,4.005143876,1
2016.11.28,월요일,1815,48.24,0,0.296296296
2016.11.29,화요일,1824,46.38,0.06065699,1
2016.11.30,수요일,1800,50.47,2.450305577,0.5
2016.12.1,목요일,1761,53.94,0.089330278,0.777777778
2016.12.2,금요일,1861,54.46,0,1
2016.12.3,토요일,1972,53.00674286,0,NA
2016.12.5,월요일,1929,54.94,0.190056022,1
2016.12.6,화요일,2095,53.93,0,0.823529412
2016.12.7,수요일,2148,53,0.092360581,0.642857143
2016.12.8,목요일,2177,53.89,1.923274764,0.733333333
2016.12.9,금요일,2058,54.33,1.245238095,0.666666667
2016.12.10,토요일,1976,54.52398924,0,1
2016.12.12,월요일,1888,55.69,0.487254902,0.862068966
2016.12.13,화요일,1895,55.72,0.483027757,0.333333333
2016.12.14,수요일,1879,53.9,2.163152534,0.348837209
2016.12.15,목요일,1995,54.02,0.121161192,0.304347826
2016.12.16,금요일,1986,55.21,0.013101604,0.5
2016.12.17,토요일,1859,55.36426932,0,1
2016.12.19,월요일,1916,54.92,8.099503438,0.692307692
2016.12.20,화요일,1852,55.35,0.009587471,0.571428571
2016.12.21,수요일,1841,54.46,26.40249554,-0.0526315789
2016.12.22,목요일,1860,55.05,13.65453272,0.428571429
2016.12.23,금요일,1845,55.16,0.711153552,0.777777778
2016.12.24,토요일,1840,55.71661144,0,0.6
2016.12.26,월요일,1877,55.73512838,11.31990069,0.363636364
2016.12.27,화요일,1961,56.09,2.719047619,0.636363636
2016.12.28,수요일,1987,56.22,0,0.857142857
2016.12.29,목요일,1953,56.14,0.221721416,1
2016.12.30,금요일,2019,56.82,0,0.5
2016.12.31,토요일,2063,55.70765676,0.010325949,0.375
2017.1.2,월요일,2090,55.68433567,0.08766,0.222222222
2017.1.3,화요일,1981,55.47,0,0.243243243
2017.1.4,수요일,2029,56.46,0,0.222222222
2017.1.5,목요일,1854,56.89,1.76885,0.866666667
2017.1.6,금요일,1815,57.1,0.17896,1
2017.1.7,토요일,1640,55.52718878,0.78214,-0.333333333
2017.1.9,월요일,1768,54.94,0.09918,0.636363636
2017.1.10,화요일,1659,53.64,0.0066,0.3125
2017.1.11,수요일,1706,55.1,0.03204,-0.333333333
2017.1.12,목요일,1621,56.01,0.17647,-0.333333333
2017.1.13,금요일,1563,55.45,0.27642,0.924528302
2017.1.14,토요일,1611,55.36604335,0.06613,0.777777778
2017.1.16,월요일,1772,55.86,0,0.894736842
2017.1.17,화요일,1714,55.47,0,1
2017.1.18,수요일,1693,53.92,0,0.764705882
2017.1.19,목요일,1710,54.16,0,0.2
2017.1.20,금요일,1775,55.49,4.62506,0.6
2017.1.21,토요일,1872,55.40756297,0.74961,0
2017.1.23,월요일,1998,55.23,0.11134,0.368421053
2017.1.24,화요일,1925,55.44,0,0.555555556
2017.1.25,수요일,1797,55.08,0,0.818181818
2017.1.26,목요일,1822,56.24,0.1035,0.6
2017.1.27,금요일,1581,55.52,1.3309,0.666666667
2017.1.31,화요일,1828,55.7,0,0.333333333
2017.2.1,수요일,1717,56.8,0,0.538461538
2017.2.2,목요일,1819,56.56,0,0.125
2017.2.3,금요일,1798,56.81,0,0.666666667
2017.2.4,토요일,1739,55.87234396,2.12191,0.333333333
2017.2.6,월요일,1720,55.72,0,0.724137931
2017.2.7,화요일,1722,55.05,0,0.393939394
2017.2.8,수요일,1739,55.12,0.06266,0.733333333
2017.2.9,목요일,1775,55.63,0.19635,0.444444444
2017.2.10,금요일,1923,56.7,1.25114,0.7
2017.2.11,토요일,1993,56.12089791,0.23396,0.6
2017.2.13,월요일,1863,55.59,0.2021,0.2
2017.2.14,화요일,1912,55.97,0.01461,0.567567568
2017.2.15,수요일,1795,55.75,0,0.428571429
2017.2.16,목요일,1848,55.65,2.14066,1
2017.2.17,금요일,1814,55.81,1.75278,NA
2017.2.18,토요일,1790,56.1399815,0,0.25
2017.2.20,월요일,1870,56.18,4.12335,0.0769230769
2017.2.21,화요일,1897,56.66,0,0.238095238
2017.2.22,수요일,1927,55.84,17.18585,0.666666667
2017.2.23,목요일,2087,56.58,0,0.333333333
2017.2.24,금요일,2029,55.89,0,-0.333333333
2017.2.25,토요일,2039,55.75194944,0,1
2017.2.27,월요일,2043,55.93,0.04216,0.428571429
2017.2.28,화요일,2005,55.59,0,NA
2017.3.1,수요일,2296,56.36,2.42397,0.333333333
2017.3.2,목요일,2498,55.08,2.05097,0.62962963
2017.3.3,금요일,2541,55.9,0,0
2017.3.4,토요일,2361,54.77072411,0,1
2017.3.6,월요일,2551,56.01,0.36499,0.0588235294
2017.3.7,화요일,2609,55.92,0.52221,0.733333333
2017.3.8,수요일,2629,53.11,0.07295,1
2017.3.9,목요일,2523,52.19,0,1
2017.3.10,금요일,2416,51.37,0,0.272727273
2017.3.11,토요일,2185,53.00986127,0,1
2017.3.13,월요일,2068,51.35,0.05904,0.454545455
2017.3.14,화요일,2031,50.92,0.72393,0.5
2017.3.15,수요일,2122,51.81,0,0.333333333
2017.3.16,목요일,2129,51.74,0,NA
2017.3.17,금요일,2067,51.76,0,0.636363636
2017.3.18,토요일,2089,50.77023252,0,NA
2017.3.20,월요일,2118,51.62,4.00376,NA
2017.3.21,화요일,2094,50.96,1.40036,0.466666667
2017.3.22,수요일,2119,50.64,0,NA
2017.3.23,목요일,2115,50.56,0.24531,0.75
2017.3.24,금요일,2002,50.8,0,1
2017.3.25,토요일,1855,50.95231237,6.05556,0.818181818
2017.3.27,월요일,1899,50.75,1.31367,-0.2
2017.3.28,화요일,1947,51.33,1.13888,1
2017.3.29,수요일,1950,52.42,1.62608,0.6
2017.3.30,목요일,1902,52.96,0,0.5
2017.3.31,금요일,1751,52.83,4.04281,0.666666667
2017.4.1,토요일,1750,53.40236296,2.27073,0.333333333
2017.4.3,월요일,1705,53.12,0,0.636363636
2017.4.4,화요일,1755,54.17,0,1
2017.4.5,수요일,1653,54.36,22.91332,0.5
2017.4.6,목요일,1701,54.89,11.36586,0.5
2017.4.7,금요일,1584,55.24,0,1
2017.4.8,토요일,1487,55.43596321,0.069,NA
2017.4.10,월요일,1503,55.98,0.22573,-0.238095238
2017.4.11,화요일,1471,56.23,8.63576,0.777777778
2017.4.12,수요일,1447,55.86,0.00813,0.5
2017.4.13,목요일,1304,55.89,0,0.333333333
2017.4.14,금요일,1116,55.29534362,1.41409,0.333333333
2017.4.15,토요일,1038,55.08711524,0.13345,0.333333333
2017.4.17,월요일,1100,55.36,12.60735,0.5
2017.4.18,화요일,1130,54.89,3.06884,0.25
2017.4.19,수요일,1013,52.93,0,0
2017.4.20,목요일,997,52.99,1.05864,0.333333333
2017.4.21,금요일,943,51.96,0.04878,0.25
2017.4.22,토요일,968,52.96430217,0.38288,1
2017.4.24,월요일,1096,51.6,0,NA
2017.4.25,화요일,1096,52.1,1.04996,0.333333333
2017.4.26,수요일,1054,51.82,1.21489,0.294117647
2017.4.27,목요일,993,51.44,0,0.666666667
2017.4.28,금요일,909,51.73,0,0.714285714
2017.4.29,토요일,950,50.25817544,0.00813,NA
2017.5.1,월요일,1051,51.52,0,0.428571429
2017.5.2,화요일,1038,50.46,0,0.555555556
2017.5.3,수요일,1194,50.79,0,0.555555556
2017.5.4,목요일,1100,48.38,1.05507,0.428571429
2017.5.5,금요일,1078,49.1,4.04692,0.6
2017.5.6,토요일,1029,49.44858173,0,0.230769231
2017.5.8,월요일,1158,49.34,0.01845,1
2017.5.9,화요일,1292,48.73,10.18423,0.428571429
2017.5.10,수요일,1327,50.22,1.40207,0.28
2017.5.11,목요일,1320,50.77,0.17884,0.333333333
2017.5.12,금요일,1123,50.84,2.36206,0.473684211
2017.5.13,토요일,1064,51.64053809,3.55016,0.111111111
2017.5.15,월요일,1125,51.82,0,0.565217391
2017.5.16,화요일,1103,51.65,0.00745,1
2017.5.17,수요일,1031,52.21,0.29774,0.2
2017.5.18,목요일,997,52.51,0,0.5
2017.5.19,금요일,1024,53.61,0,0.2
2017.5.20,토요일,1026,53.2810287,0,1
2017.5.22,월요일,1158,53.87,0,NA
2017.5.23,화요일,1164,54.15,1.82835,0.5
2017.5.24,수요일,1103,53.96,3.83383,0.857142857
2017.5.25,목요일,1064,51.46,0,0.511111111
2017.5.26,금요일,1014,52.15,0.05691,0.672727273
2017.5.27,토요일,1028,51.93761912,0,0
2017.5.29,월요일,1167,52.29,0,1
2017.5.30,화요일,1064,51.84,0,0.5
2017.5.31,수요일,997,50.31,2.88973,0.666666667
2017.6.1,목요일,906,50.63,2.20614,NA
2017.6.2,금요일,970,49.95,0.06187,0.454545455
2017.6.3,토요일,1042,49.62749607,0.21654,-0.142857143
2017.6.5,월요일,1092,49.47,0,0.454545455
2017.6.6,화요일,1058,50.12,17.70451,0.0526315789
2017.6.7,수요일,1064,48.06,6.95066,0.333333333
2017.6.8,목요일,1062,47.86,0,-0.333333333
2017.6.9,금요일,1002,48.15,0.73665,0.0555555556
2017.6.10,토요일,999,47.99511994,0.57922,-0.0588235294
2017.6.12,월요일,1067,48.29,0.00564,0.0909090909
2017.6.13,화요일,1031,48.72,1.57479,0.333333333
2017.6.14,수요일,941,47,0,0.111111111
2017.6.15,목요일,918,46.92,0,0.882352941
2017.6.16,금요일,860,47.37,0,0.384615385
2017.6.17,토요일,969,47.06572413,0,0.333333333
2017.6.19,월요일,905,46.91,0,0.666666667
2017.6.20,화요일,874,46.02,3.73006,0.24
2017.6.21,수요일,824,44.82,0.26421,0.68
2017.6.22,목요일,822,45.22,0,0.310344828
2017.6.23,금요일,808,45.54,0.07834,0.405405405
2017.6.24,토요일,868,46.72525372,2.48491,0.6
2017.6.26,월요일,929,45.83,20.00526,0.692307692
2017.6.27,화요일,959,46.65,3.55666,0.625
2017.6.28,수요일,779,47.31,1.56832,0.5
2017.6.29,목요일,758,47.42,10.55183,0.764705882
2017.6.30,금요일,834,47.92,0.37402,0.0909090909
2017.7.1,토요일,880,46.86581471,3.17366,0.333333333
2017.7.3,월요일,980,49.68,26.08791,0.8
2017.7.4,화요일,991,49.61,17.50021,1
2017.7.5,수요일,879,47.79,1.9603,NA
2017.7.6,목요일,734,48.11,29.87973,0.5625
2017.7.7,금요일,696,46.71,5.41598,0.5
2017.7.8,토요일,753,47.52121511,24.21598,NA
2017.7.10,월요일,937,46.88,30.63266,0.428571429
2017.7.11,화요일,1055,47.52,5.53166,0.538461538
2017.7.12,수요일,1007,47.74,0.01725,0.764705882
2017.7.13,목요일,1044,48.42,0,0
2017.7.14,금요일,925,48.91,7.73555,0.428571429
2017.7.15,토요일,919,48.84306572,22.60704,1
2017.7.17,월요일,1196,48.42,7.95957,0.272727273
2017.7.18,화요일,986,48.84,6.5351,0.485714286
2017.7.19,수요일,943,49.7,0,1
2017.7.20,목요일,852,49.3,0,0.379310345
2017.7.21,금요일,882,48.06,1.09601,-0.272727273
2017.7.22,토요일,1227,50.43945582,5.21444,NA
2017.7.24,월요일,1210,48.6,7.17717,0.4
2017.7.25,화요일,1263,50.2,6.88922,NA
2017.7.26,수요일,1270,50.97,0.05166,0.333333333
2017.7.27,목요일,1206,51.49,0.5754,0.636363636
2017.7.28,금요일,1246,52.52,8.10725,0.538461538
2017.7.29,토요일,1223,51.43596562,3.90744,0.666666667
2017.7.31,월요일,1198,52.65,20.08128,0.6
2017.8.1,화요일,1284,51.78,1.39633,0.117647059
2017.8.2,수요일,1549,52.36,0.47271,0.714285714
2017.8.3,목요일,1569,52.01,0,1
2017.8.4,금요일,1833,52.42,0,0.666666667
2017.8.5,토요일,1167,51.71516601,0.42003,0
2017.8.7,월요일,1342,52.37,1.05396,0.411764706
2017.8.8,화요일,1322,52.14,1.95351,0.733333333
2017.8.9,수요일,1199,52.7,9.37863,0.411764706
2017.8.10,목요일,1319,51.9,12.37556,0.722222222
2017.8.11,금요일,1414,52.1,12.67052,0.466666667
2017.8.12,토요일,1476,51.66342787,1.36988,0.5
2017.8.14,월요일,1664,50.73,52.17234,1
2017.8.15,화요일,1885,50.8,32.32699,-0.0666666667
2017.8.16,수요일,1720,50.27,5.88185,0.714285714
2017.8.17,목요일,1941,51.03,4.63903,0.636363636
2017.8.18,금요일,1641,52.72,6.20257,0.636363636
2017.8.19,토요일,1583,51.67551872,5.75286,1
2017.8.21,월요일,1677,51.66,30.12736,0.666666667
