date,요일,가격,대파_가중_강수량
2016.4.9,토요일,1666,0.034708429
2016.4.11,월요일,1846,0.116832187
2016.4.12,화요일,1845,1.040603514
2016.4.13,수요일,1694,13.32691622
2016.4.14,목요일,1770,0
2016.4.15,금요일,1654,0
2016.4.16,토요일,1575,37.71070792
2016.4.18,월요일,1593,1.381856379
2016.4.19,화요일,1674,0.015711739
2016.4.20,수요일,1555,1.019200407
2016.4.21,목요일,1605,30.18152534
2016.4.22,금요일,1537,0
2016.4.23,토요일,1403,0.043048128
2016.4.25,월요일,1432,0
2016.4.26,화요일,1456,3.340832697
2016.4.27,수요일,1451,30.7210848
2016.4.28,목요일,1496,3.334313725
2016.4.29,금요일,1590,0.050585689
2016.4.30,토요일,1866,0
2016.5.2,월요일,1836,12.74828113
2016.5.3,화요일,1837,29.63866819
2016.5.4,수요일,1888,0.163496308
2016.5.5,목요일,1669,1.69096002
2016.5.6,금요일,1484,3.195798319
2016.5.7,토요일,1422,0
2016.5.9,월요일,1560,0.516883117
2016.5.10,화요일,1699,21.57384772
2016.5.11,수요일,1687,0.487547746
2016.5.12,목요일,1554,0
2016.5.13,금요일,1506,0.059103641
2016.5.14,토요일,1430,0
2016.5.16,월요일,1475,4.991431118
2016.5.17,화요일,1466,0
2016.5.18,수요일,1395,0
2016.5.19,목요일,1303,0
2016.5.20,금요일,1268,0
2016.5.21,토요일,1173,0
2016.5.23,월요일,1368,0.017354214
2016.5.24,화요일,1572,25.2048001
2016.5.25,수요일,1734,0
2016.5.26,목요일,1534,0.068092692
2016.5.27,금요일,1352,0.318105424
2016.5.28,토요일,1467,1.141074612
2016.5.30,월요일,1529,0
2016.5.31,화요일,1538,0
2016.6.1,수요일,1425,0
2016.6.2,목요일,1230,0.023567609
2016.6.3,금요일,1321,0.023567609
2016.6.4,토요일,1329,6.827336389
2016.6.6,월요일,1443,0.465317036
2016.6.7,화요일,1377,0.526572447
2016.6.8,수요일,1274,0.594308633
2016.6.9,목요일,1241,0
2016.6.10,금요일,1143,0
2016.6.11,토요일,1206,2.164349376
2016.6.13,월요일,1229,0.094805195
2016.6.14,화요일,1141,0.407906799
2016.6.15,수요일,1137,5.516488414
2016.6.16,목요일,1149,0.619365928
2016.6.17,금요일,1088,0
2016.6.18,토요일,1053,1.604660046
2016.6.20,월요일,1249,12.12818946
2016.6.21,화요일,1300,0.290590782
2016.6.22,수요일,1242,12.36578813
2016.6.23,목요일,1151,0.098446651
2016.6.24,금요일,1056,34.97206519
2016.6.25,토요일,1119,0
2016.6.27,월요일,1127,1.832785842
2016.6.28,화요일,989,1.664043799
2016.6.29,수요일,913,2.735103132
2016.6.30,목요일,911,1.013483575
2016.7.1,금요일,1025,62.80892539
2016.7.2,토요일,1201,28.4995671
2016.7.4,월요일,1298,39.38405908
2016.7.5,화요일,1260,46.04903234
2016.7.6,수요일,1061,16.19442322
2016.7.7,목요일,1015,0.549796282
2016.7.8,금요일,932,2.530735931
2016.7.9,토요일,801,0.01157372
2016.7.11,월요일,961,2.563279857
2016.7.12,화요일,965,19.2921696
2016.7.13,수요일,984,0.569786096
2016.7.14,목요일,906,2.773720397
2016.7.15,금요일,829,0.817201426
2016.7.16,토요일,988,31.57235803
2016.7.18,월요일,1213,0.046600458
2016.7.19,화요일,944,0.109638401
2016.7.20,수요일,853,0.053514133
2016.7.21,목요일,699,0
2016.7.22,금요일,736,0
2016.7.23,토요일,767,1.650445633
2016.7.25,월요일,917,2.445594601
2016.7.26,화요일,810,0.018716578
2016.7.27,수요일,767,1.474586198
2016.7.28,목요일,860,0.893366437
2016.7.29,금요일,861,11.06297428
2016.7.30,토요일,992,3.165711739
2016.8.1,월요일,1121,1.72438248
2016.8.2,화요일,1064,1.44246244
2016.8.3,수요일,1081,1.864298447
2016.8.4,목요일,1099,1.07486631
2016.8.5,금요일,1598,0.385357779
2016.8.6,토요일,1358,0.906531704
2016.8.8,월요일,1578,3.92438248
2016.8.9,화요일,1112,0.457512096
2016.8.10,수요일,932,0
2016.8.11,목요일,930,0
2016.8.12,금요일,952,0
2016.8.13,토요일,1119,0
2016.8.15,월요일,1320,2.393888464
2016.8.16,화요일,1307,1.501769799
2016.8.17,수요일,1355,0.66232493
2016.8.18,목요일,1576,0.289330278
2016.8.19,금요일,1434,0.776012223
2016.8.20,토요일,1480,0.226279603
2016.8.22,월요일,1389,0.319149478
2016.8.23,화요일,1337,2.691303794
2016.8.24,수요일,1326,0.061955691
2016.8.25,목요일,1321,3.114311179
2016.8.26,금요일,1379,12.41674306
2016.8.27,토요일,1600,1.360071301
2016.8.29,월요일,1791,3.241061879
2016.8.30,화요일,1782,0.948370257
2016.8.31,수요일,1858,7.604558187
2016.9.1,목요일,1942,1.128545964
2016.9.2,금요일,1922,18.82834225
2016.9.3,토요일,1984,7.314896868
2016.9.5,월요일,1706,1.308135982
2016.9.6,화요일,1573,0
2016.9.7,수요일,1361,0.695645531
2016.9.8,목요일,1192,2.750038197
2016.9.9,금요일,1233,1.32846957
2016.9.10,토요일,1202,3.680723198
2016.9.12,월요일,1439,6.316730328
2016.9.13,화요일,2202,0.031423478
2016.9.14,수요일,2231,0.032925898
2016.9.17,토요일,3182,88.38525592
2016.9.19,월요일,1530,0.345034377
2016.9.20,화요일,1791,0
2016.9.21,수요일,2095,0
2016.9.22,목요일,1915,0.016959511
2016.9.23,금요일,1744,0
2016.9.24,토요일,1524,0
2016.9.26,월요일,1555,1.911764706
2016.9.27,화요일,1557,5.425426534
2016.9.28,수요일,1604,9.239330278
2016.9.29,목요일,1431,1.445161701
2016.9.30,금요일,1395,21.62820219
2016.10.1,토요일,1436,5.365189712
2016.10.3,월요일,1923,11.5846957
2016.10.4,화요일,1678,1.840132417
2016.10.5,수요일,1645,55.22664884
2016.10.6,목요일,1978,0.062846957
2016.10.7,금요일,1684,8.406226127
2016.10.8,토요일,1729,28.4697861
2016.10.10,월요일,1801,0
2016.10.11,화요일,1786,0
2016.10.12,수요일,1661,0.015711739
2016.10.13,목요일,1614,0
2016.10.14,금요일,1547,0
2016.10.15,토요일,1587,0
2016.10.17,월요일,1651,0.423554876
2016.10.18,화요일,1627,0.039279348
2016.10.19,수요일,1529,0
2016.10.20,목요일,1500,0.102126305
2016.10.21,금요일,1443,1.186567354
2016.10.22,토요일,1472,1.04311179
2016.10.24,월요일,1644,0.07841864
2016.10.25,화요일,1711,15.44837026
2016.10.26,수요일,2067,0.190145149
2016.10.27,목요일,1668,0.014629488
2016.10.28,금요일,1595,6.47223071
2016.10.29,토요일,1711,1.014349376
2016.10.31,월요일,1668,0.672256175
2016.11.1,화요일,1684,0
2016.11.2,수요일,1731,0.104125286
2016.11.3,목요일,1816,0.107435702
2016.11.4,금요일,1802,0
2016.11.5,토요일,1764,0.267099567
2016.11.7,월요일,1636,1.630061115
2016.11.8,화요일,1758,2.300178253
2016.11.9,수요일,1690,0
2016.11.10,목요일,1651,4.137713267
2016.11.11,금요일,1829,1.234046346
2016.11.12,토요일,1842,0
2016.11.14,월요일,1904,4.636541889
2016.11.15,화요일,1971,0
2016.11.16,수요일,1932,0
2016.11.17,목요일,1907,0
2016.11.18,금요일,2075,17.28899924
2016.11.19,토요일,2042,1.15925643
2016.11.21,월요일,1995,0.263419913
2016.11.22,화요일,1976,0.922561752
2016.11.23,수요일,2037,0.036325439
2016.11.24,목요일,2118,0.001871658
2016.11.25,금요일,2035,0
2016.11.26,토요일,1885,4.005143876
2016.11.28,월요일,1815,0
2016.11.29,화요일,1824,0.06065699
2016.11.30,수요일,1800,2.450305577
2016.12.1,목요일,1761,0.089330278
2016.12.2,금요일,1861,0
2016.12.3,토요일,1972,0
2016.12.5,월요일,1929,0.190056022
2016.12.6,화요일,2095,0
2016.12.7,수요일,2148,0.092360581
2016.12.8,목요일,2177,1.923274764
2016.12.9,금요일,2058,1.245238095
2016.12.10,토요일,1976,0
2016.12.12,월요일,1888,0.487254902
2016.12.13,화요일,1895,0.483027757
2016.12.14,수요일,1879,2.163152534
2016.12.15,목요일,1995,0.121161192
2016.12.16,금요일,1986,0.013101604
2016.12.17,토요일,1859,0
2016.12.19,월요일,1916,8.099503438
2016.12.20,화요일,1852,0.009587471
2016.12.21,수요일,1841,26.40249554
2016.12.22,목요일,1860,13.65453272
2016.12.23,금요일,1845,0.711153552
2016.12.24,토요일,1840,0
2016.12.26,월요일,1877,11.31990069
2016.12.27,화요일,1961,2.719047619
2016.12.28,수요일,1987,0
2016.12.29,목요일,1953,0.221721416
2016.12.30,금요일,2019,0
2016.12.31,토요일,2063,0.010325949
2017.1.2,월요일,2090,0.08766
2017.1.3,화요일,1981,0
2017.1.4,수요일,2029,0
2017.1.5,목요일,1854,1.76885
2017.1.6,금요일,1815,0.17896
2017.1.7,토요일,1640,0.78214
2017.1.9,월요일,1768,0.09918
2017.1.10,화요일,1659,0.0066
2017.1.11,수요일,1706,0.03204
2017.1.12,목요일,1621,0.17647
2017.1.13,금요일,1563,0.27642
2017.1.14,토요일,1611,0.06613
2017.1.16,월요일,1772,0
2017.1.17,화요일,1714,0
2017.1.18,수요일,1693,0
2017.1.19,목요일,1710,0
2017.1.20,금요일,1775,4.62506
2017.1.21,토요일,1872,0.74961
2017.1.23,월요일,1998,0.11134
2017.1.24,화요일,1925,0
2017.1.25,수요일,1797,0
2017.1.26,목요일,1822,0.1035
2017.1.27,금요일,1581,1.3309
2017.1.31,화요일,1828,0
2017.2.1,수요일,1717,0
2017.2.2,목요일,1819,0
2017.2.3,금요일,1798,0
2017.2.4,토요일,1739,2.12191
2017.2.6,월요일,1720,0
2017.2.7,화요일,1722,0
2017.2.8,수요일,1739,0.06266
2017.2.9,목요일,1775,0.19635
2017.2.10,금요일,1923,1.25114
2017.2.11,토요일,1993,0.23396
2017.2.13,월요일,1863,0.2021
2017.2.14,화요일,1912,0.01461
2017.2.15,수요일,1795,0
2017.2.16,목요일,1848,2.14066
2017.2.17,금요일,1814,1.75278
2017.2.18,토요일,1790,0
2017.2.20,월요일,1870,4.12335
2017.2.21,화요일,1897,0
2017.2.22,수요일,1927,17.18585
2017.2.23,목요일,2087,0
2017.2.24,금요일,2029,0
2017.2.25,토요일,2039,0
2017.2.27,월요일,2043,0.04216
2017.2.28,화요일,2005,0
2017.3.1,수요일,2296,2.42397
2017.3.2,목요일,2498,2.05097
2017.3.3,금요일,2541,0
2017.3.4,토요일,2361,0
2017.3.6,월요일,2551,0.36499
2017.3.7,화요일,2609,0.52221
2017.3.8,수요일,2629,0.07295
2017.3.9,목요일,2523,0
2017.3.10,금요일,2416,0
2017.3.11,토요일,2185,0
2017.3.13,월요일,2068,0.05904
2017.3.14,화요일,2031,0.72393
2017.3.15,수요일,2122,0
2017.3.16,목요일,2129,0
2017.3.17,금요일,2067,0
2017.3.18,토요일,2089,0
2017.3.20,월요일,2118,4.00376
2017.3.21,화요일,2094,1.40036
2017.3.22,수요일,2119,0
2017.3.23,목요일,2115,0.24531
2017.3.24,금요일,2002,0
2017.3.25,토요일,1855,6.05556
2017.3.27,월요일,1899,1.31367
2017.3.28,화요일,1947,1.13888
2017.3.29,수요일,1950,1.62608
2017.3.30,목요일,1902,0
2017.3.31,금요일,1751,4.04281
2017.4.1,토요일,1750,2.27073
2017.4.3,월요일,1705,0
2017.4.4,화요일,1755,0
2017.4.5,수요일,1653,22.91332
2017.4.6,목요일,1701,11.36586
2017.4.7,금요일,1584,0
2017.4.8,토요일,1487,0.069
2017.4.10,월요일,1503,0.22573
2017.4.11,화요일,1471,8.63576
2017.4.12,수요일,1447,0.00813
2017.4.13,목요일,1304,0
2017.4.14,금요일,1116,1.41409
2017.4.15,토요일,1038,0.13345
2017.4.17,월요일,1100,12.60735
2017.4.18,화요일,1130,3.06884
2017.4.19,수요일,1013,0
2017.4.20,목요일,997,1.05864
2017.4.21,금요일,943,0.04878
2017.4.22,토요일,968,0.38288
2017.4.24,월요일,1096,0
2017.4.25,화요일,1096,1.04996
2017.4.26,수요일,1054,1.21489
2017.4.27,목요일,993,0
2017.4.28,금요일,909,0
2017.4.29,토요일,950,0.00813
2017.5.1,월요일,1051,0
2017.5.2,화요일,1038,0
2017.5.3,수요일,1194,0
2017.5.4,목요일,1100,1.05507
2017.5.5,금요일,1078,4.04692
2017.5.6,토요일,1029,0
2017.5.8,월요일,1158,0.01845
2017.5.9,화요일,1292,10.18423
2017.5.10,수요일,1327,1.40207
2017.5.11,목요일,1320,0.17884
2017.5.12,금요일,1123,2.36206
2017.5.13,토요일,1064,3.55016
2017.5.15,월요일,1125,0
2017.5.16,화요일,1103,0.00745
2017.5.17,수요일,1031,0.29774
2017.5.18,목요일,997,0
2017.5.19,금요일,1024,0
2017.5.20,토요일,1026,0
2017.5.22,월요일,1158,0
2017.5.23,화요일,1164,1.82835
2017.5.24,수요일,1103,3.83383
2017.5.25,목요일,1064,0
2017.5.26,금요일,1014,0.05691
2017.5.27,토요일,1028,0
2017.5.29,월요일,1167,0
2017.5.30,화요일,1064,0
2017.5.31,수요일,997,2.88973
2017.6.1,목요일,906,2.20614
2017.6.2,금요일,970,0.06187
2017.6.3,토요일,1042,0.21654
2017.6.5,월요일,1092,0
2017.6.6,화요일,1058,17.70451
2017.6.7,수요일,1064,6.95066
2017.6.8,목요일,1062,0
2017.6.9,금요일,1002,0.73665
2017.6.10,토요일,999,0.57922
2017.6.12,월요일,1067,0.00564
2017.6.13,화요일,1031,1.57479
2017.6.14,수요일,941,0
2017.6.15,목요일,918,0
2017.6.16,금요일,860,0
2017.6.17,토요일,969,0
2017.6.19,월요일,905,0
2017.6.20,화요일,874,3.73006
2017.6.21,수요일,824,0.26421
2017.6.22,목요일,822,0
2017.6.23,금요일,808,0.07834
2017.6.24,토요일,868,2.48491
2017.6.26,월요일,929,20.00526
2017.6.27,화요일,959,3.55666
2017.6.28,수요일,779,1.56832
2017.6.29,목요일,758,10.55183
2017.6.30,금요일,834,0.37402
2017.7.1,토요일,880,3.17366
2017.7.3,월요일,980,26.08791
2017.7.4,화요일,991,17.50021
2017.7.5,수요일,879,1.9603
2017.7.6,목요일,734,29.87973
2017.7.7,금요일,696,5.41598
2017.7.8,토요일,753,24.21598
2017.7.10,월요일,937,30.63266
2017.7.11,화요일,1055,5.53166
2017.7.12,수요일,1007,0.01725
2017.7.13,목요일,1044,0
2017.7.14,금요일,925,7.73555
2017.7.15,토요일,919,22.60704
2017.7.17,월요일,1196,7.95957
2017.7.18,화요일,986,6.5351
2017.7.19,수요일,943,0
2017.7.20,목요일,852,0
2017.7.21,금요일,882,1.09601
2017.7.22,토요일,1227,5.21444
2017.7.24,월요일,1210,7.17717
2017.7.25,화요일,1263,6.88922
2017.7.26,수요일,1270,0.05166
2017.7.27,목요일,1206,0.5754
2017.7.28,금요일,1246,8.10725
2017.7.29,토요일,1223,3.90744
2017.7.31,월요일,1198,20.08128
2017.8.1,화요일,1284,1.39633
2017.8.2,수요일,1549,0.47271
2017.8.3,목요일,1569,0
2017.8.4,금요일,1833,0
2017.8.5,토요일,1167,0.42003
2017.8.7,월요일,1342,1.05396
2017.8.8,화요일,1322,1.95351
2017.8.9,수요일,1199,9.37863
2017.8.10,목요일,1319,12.37556
2017.8.11,금요일,1414,12.67052
2017.8.12,토요일,1476,1.36988
2017.8.14,월요일,1664,52.17234
2017.8.15,화요일,1885,32.32699
2017.8.16,수요일,1720,5.88185
2017.8.17,목요일,1941,4.63903
2017.8.18,금요일,1641,6.20257
2017.8.19,토요일,1583,5.75286
2017.8.21,월요일,1677,30.12736
2017.8.22,화요일,1775,13.51815
2017.8.23,수요일,1642,11.03811
2017.8.24,목요일,1624,14.2316
2017.8.25,금요일,1663,6.6776
2017.8.26,토요일,1716,0
2017.8.28,월요일,1768,8.10928
2017.8.29,화요일,1786,1.16704
2017.8.30,수요일,1667,0.01844
2017.8.31,목요일,1571,0
2017.9.1,금요일,1597,0.00745
2017.9.2,토요일,1525,0
2017.9.4,월요일,1640,0.32103
2017.9.5,화요일,1592,2.54263
2017.9.6,수요일,1642,25.88061
2017.9.7,목요일,1663,2.59407
2017.9.8,금요일,1522,0
2017.9.9,토요일,1456,0
2017.9.11,월요일,1649,41.13754
2017.9.12,화요일,1902,0
2017.9.13,수요일,1801,0
2017.9.14,목요일,1510,0.04059
2017.9.15,금요일,1410,0.01182
2017.9.16,토요일,1433,0.04636
2017.9.18,월요일,1478,0
2017.9.19,화요일,1441,4.36719
2017.9.20,수요일,1306,0.2488
2017.9.21,목요일,1478,0
2017.9.22,금요일,1477,0
2017.9.23,토요일,1449,0.01725
2017.9.25,월요일,1354,0
2017.9.26,화요일,1333,0.66743
2017.9.27,수요일,1225,13.37111
2017.9.28,목요일,1257,0.24186
2017.9.29,금요일,1155,0
2017.9.30,토요일,1628,0
2017.10.2,월요일,2123,12.71696
2017.10.3,화요일,2381,1.00773
2017.10.7,토요일,1466,0.19512
2017.10.9,월요일,1515,0
2017.10.10,화요일,1305,2.58329
2017.10.11,수요일,1154,8.24368
2017.10.12,목요일,1193,6.07298
2017.10.13,금요일,1118,0.00813
2017.10.14,토요일,1094,0.02583
2017.10.16,월요일,1148,0.61254
2017.10.17,화요일,1083,0
2017.10.18,수요일,1025,0.31377
2017.10.19,목요일,1026,0.22436
2017.10.20,금요일,970,0
2017.10.21,토요일,975,0
2017.10.23,월요일,1115,0
2017.10.24,화요일,1129,0.0935
2017.10.25,수요일,1045,0
2017.10.26,목요일,961,0
2017.10.27,금요일,907,0
2017.10.28,토요일,914,0
2017.10.30,월요일,1052,0
2017.10.31,화요일,1052,0
2017.11.1,수요일,987,0
2017.11.2,목요일,975,0.14217
2017.11.3,금요일,957,1.89746
2017.11.4,토요일,933,2.15646
2017.11.6,월요일,964,0
2017.11.7,화요일,956,0.13616
2017.11.8,수요일,931,0.0409
2017.11.9,목요일,906,0
2017.11.10,금요일,906,2.35945
2017.11.11,토요일,921,0
2017.11.13,월요일,1038,0.64044
2017.11.14,화요일,1069,0.02657
2017.11.15,수요일,1069,0.01725
2017.11.16,목요일,1032,0
2017.11.17,금요일,1086,0.35227
2017.11.18,토요일,1205,0.05718
2017.11.20,월요일,1347,0.1098
2017.11.21,화요일,1246,0
2017.11.22,수요일,1147,0.47878
2017.11.23,목요일,1268,0.63618
2017.11.24,금요일,1265,0.85364
2017.11.25,토요일,1298,4.63102
2017.11.27,월요일,1224,0
2017.11.28,화요일,1169,0.11817
2017.11.29,수요일,1040,0.27456
2017.11.30,목요일,1047,0
2017.12.1,금요일,1034,0.01725
2017.12.2,토요일,1042,0.01725
2017.12.4,월요일,1090,0.23938
2017.12.5,화요일,1239,0.32928
2017.12.6,수요일,1233,0.78983
2017.12.7,목요일,1245,0.73076
2017.12.8,금요일,1278,0.38769
2017.12.9,토요일,1297,0.02544
2017.12.11,월요일,1349,0.29374
2017.12.12,화요일,1396,0.0132
2017.12.13,수요일,1416,0
2017.12.14,목요일,1370,0
2017.12.15,금요일,1333,0.02289
2017.12.16,토요일,1303,0.50489
2017.12.18,월요일,1300,0.48206
2017.12.19,화요일,1259,0.04117
2017.12.20,수요일,1249,0.91094
2017.12.21,목요일,1246,0
2017.12.22,금요일,1225,0
2017.12.23,토요일,1170,0
2017.12.25,월요일,1171,0.02544
2017.12.26,화요일,1143,0.08928
2017.12.27,수요일,1211,0
2017.12.28,목요일,1285,0
2017.12.29,금요일,1413,0
2017.12.30,토요일,1788,0.70144
2018.1.2,화요일,1359,0
2018.1.3,수요일,1271,0
2018.1.4,목요일,1426,0.035156676
2018.1.5,금요일,1402,0.064220985
2018.1.6,토요일,1470,0
2018.1.8,월요일,1465,2.911540561
2018.1.9,화요일,1489,1.130156131
2018.1.10,수요일,1457,3.523212141
2018.1.11,목요일,1478,1.603603013
2018.1.12,금요일,1428,0.113047276
2018.1.13,토요일,1440,0.139895185
2018.1.15,월요일,1415,0.097303199
2018.1.16,화요일,1336,9.378698548
2018.1.17,수요일,1380,3.371503439
2018.1.18,목요일,1369,0.005186156
2018.1.19,금요일,1426,0
2018.1.20,토요일,1374,0
2018.1.22,월요일,1318,1.455126105
2018.1.23,화요일,1298,0.059351458
2018.1.24,수요일,1292,0.079375478
2018.1.25,목요일,1284,0
2018.1.26,금요일,1301,0.079648433
2018.1.27,토요일,1605,0
2018.1.29,월요일,1560,0.19256469
2018.1.30,화요일,1821,0.300655093
2018.1.31,수요일,1973,0.05092259
2018.2.1,목요일,1919,0
2018.2.2,금요일,1984,0
2018.2.3,토요일,2066,0.454088874
2018.2.5,월요일,2134,0.399727044
2018.2.6,화요일,2279,0.330090621
2018.2.7,수요일,2308,0.054765804
2018.2.8,목요일,2319,0.075586854
2018.2.9,금요일,2116,0.004454635
2018.2.10,토요일,2112,0.019336172
2018.2.12,월요일,2013,0.418637406
2018.2.13,화요일,1901,0.063544055
2018.2.14,수요일,1363,0
2018.2.15,목요일,941,0.001757834
2018.2.19,월요일,1040,0.02285184
2018.2.20,화요일,1192,0
2018.2.21,수요일,1194,0
2018.2.22,목요일,1174,0.265574844
2018.2.23,금요일,1236,1.138595917
2018.2.24,토요일,1238,0.244055028
2018.2.26,월요일,1312,0
2018.2.27,화요일,1332,0
2018.2.28,수요일,1351,31.03183754
2018.3.1,목요일,1412,0.805633803
2018.3.2,금요일,1414,0
2018.3.3,토요일,1395,0.035156676
2018.3.5,월요일,1410,10.59387488
2018.3.6,화요일,1425,0
2018.3.7,수요일,1294,6.333529861
2018.3.8,목요일,1292,16.23814827
2018.3.9,금요일,1227,0.103111693
2018.3.10,토요일,1135,0
2018.3.12,월요일,1147,0
2018.3.13,화요일,1164,0
2018.3.14,수요일,1150,0.005186156
2018.3.15,목요일,1093,37.06567311
2018.3.16,금요일,1088,0.582498089
2018.3.17,토요일,997,0
2018.3.19,월요일,1022,15.45082433
2018.3.20,화요일,998,1.260017469
2018.3.21,수요일,1065,6.369516323
2018.3.22,목요일,1219,0.019336172
2018.3.23,금요일,1173,0
2018.3.24,토요일,1142,0
2018.3.26,월요일,1061,0
2018.3.27,화요일,995,0
2018.3.28,수요일,781,0
2018.3.29,목요일,744,0
2018.3.30,금요일,513,0
2018.3.31,토요일,619,0
2018.4.2,월요일,952,0
2018.4.3,화요일,773,0.118691997
2018.4.4,수요일,638,16.47154711
2018.4.5,목요일,613,11.95483131
2018.4.6,금요일,553,16.75116279
2018.4.7,토요일,764,0.440397423
2018.4.9,월요일,809,0.008778251
2018.4.10,화요일,770,1.913418495
2018.4.11,수요일,668,1.110022928
2018.4.12,목요일,695,0
2018.4.13,금요일,561,0.003515668
2018.4.14,토요일,551,23.52487171
2018.4.16,월요일,663,0
2018.4.17,화요일,673,0
2018.4.18,수요일,666,0
2018.4.19,목요일,778,0
2018.4.20,금요일,728,0
2018.4.21,토요일,589,0
2018.4.23,월요일,660,53.57284638
2018.4.24,화요일,740,9.536663391
2018.4.25,수요일,698,0.18390654
2018.4.26,목요일,750,0
2018.4.27,금요일,788,0
2018.4.28,토요일,915,0
2018.4.30,월요일,981,0.483404302
2018.5.1,화요일,700,0.674975434
2018.5.2,수요일,646,10.91032864
2018.5.3,목요일,740,0.694704662
2018.5.4,금요일,728,0
2018.5.5,토요일,705,0
2018.5.7,월요일,857,13.88123158
2018.5.8,화요일,1188,1.125221094
2018.5.9,수요일,1046,0.0389453
2018.5.10,목요일,855,0
2018.5.11,금요일,721,0.005273501
2018.5.12,토요일,647,19.452604
2018.5.14,월요일,711,0
2018.5.15,화요일,707,0
2018.5.16,수요일,711,10.40747898
2018.5.17,목요일,725,27.10117917
2018.5.18,금요일,672,10.29514139
2018.5.19,토요일,733,0.117338137
2018.5.21,월요일,955,0
2018.5.22,화요일,1161,7.784441533
2018.5.23,수요일,1170,11.71930342
2018.5.24,목요일,1229,0
2018.5.25,금요일,1215,0.019336172
2018.5.26,토요일,1170,0.100196528
2018.5.28,월요일,1060,1.221694508
2018.5.29,화요일,1050,1.409793646
2018.5.30,수요일,895,1.185849984
2018.5.31,목요일,975,0
2018.6.1,금요일,939,0
2018.6.2,토요일,1107,0
2018.6.4,월요일,1148,0.007042254
2018.6.5,화요일,1106,2.246631728
2018.6.6,수요일,981,0
2018.6.7,목요일,952,0
2018.6.8,금요일,911,0
2018.6.9,토요일,962,1.844251556
2018.6.11,월요일,1143,5.872617098
2018.6.12,화요일,1085,0.646566219
2018.6.13,수요일,991,0.008778251
2018.6.14,목요일,988,3.850485861
2018.6.15,금요일,943,1.3341522
2018.6.16,토요일,988,0
2018.6.18,월요일,1025,0
2018.6.19,화요일,953,5.88194126
2018.6.20,수요일,912,0.020275139
2018.6.21,목요일,887,0
2018.6.22,금요일,887,0.012304837
2018.6.23,토요일,1069,0.020275139
2018.6.25,월요일,1121,0
2018.6.26,화요일,1017,33.54558358
